OrigPV,NewPV,OrigEmb,NewEmb,To.include,What is this?
1,1,noembod,noembod,1,"Result of Taylor's recoding of embodimentSOV, of 11 subjects out of 36.  I reported this  agreement rate in the dissertation"
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
2,2,embod,embod,1,
1,1,noembod,noembod,1,
0,0,noembod,noembod,1,
1,1,noembod,noembod,1,
2,2,embod,embod,1,
1,1,noembod,noembod,1,
0,0,noembod,noembod,1,
2,2,embod,embod,1,
1,1,noembod,noembod,1,
2,2,embod,embod,1,
1,1,noembod,noembod,1,
2,2,embod,embod,1,
2,2,embod,embod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
2,2,embod,embod,1,
0,0,noembod,noembod,1,
2,2,embod,embod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
2,2,embod,embod,1,
1,1,noembod,noembod,1,
0,0,noembod,noembod,1,
1,1,noembod,noembod,1,
2,1,embod,noembod,1,
1,0,noembod,noembod,1,
0,0,noembod,noembod,1,
2,2,embod,embod,1,
1,1,noembod,noembod,1,
2,1,embod,noembod,1,
1,1,noembod,noembod,1,
2,2,embod,embod,1,
2,2,embod,embod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
1,1,noembod,noembod,1,
1,0,noembod,noembod,1,
2,2,embod,embod,1,
0,0,noembod,noembod,1,
2,2,embod,embod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
2,2,embod,embod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
2,2,embod,embod,1,
1,1,noembod,noembod,1,
0,1,noembod,noembod,1,
2,2,embod,embod,1,
1,1,noembod,noembod,1,
2,2,embod,embod,1,
1,1,noembod,noembod,1,
2,2,embod,embod,1,
2,2,embod,embod,1,
0,0,noembod,noembod,1,
1,1,noembod,noembod,1,
1,0,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
2,2,embod,embod,1,
1,1,noembod,noembod,1,
2,2,embod,embod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
0,0,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
0,0,noembod,noembod,1,
1,1,noembod,noembod,1,
0,0,noembod,noembod,1,
1,1,noembod,noembod,1,
2,2,embod,embod,1,
1,1,noembod,noembod,1,
0,0,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
2,0,embod,noembod,1,
1,1,noembod,noembod,1,
0,0,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
0,0,noembod,noembod,1,
1,0,noembod,noembod,1,
1,1,noembod,noembod,1,
2,2,embod,embod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
0,0,noembod,noembod,1,
1,1,noembod,noembod,1,
0,0,noembod,noembod,1,
1,1,noembod,noembod,1,
1,0,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,1,noembod,noembod,1,
1,0,noembod,noembod,1,
1,0,noembod,noembod,1,
1,0,noembod,noembod,1,
2,0,embod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,1,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
0,0,noembod,noembod,0,
