Subject,Trial Number,Type of Action,Object Type,GestureCondition,Word Order,Exclude,Spatial Cue,Randomizer,Randomizer Set,Clipped Movie File,Event,Word Order.Recode,Exclude.Recode,Spatial Cue.Recode,Used ASL,"""Embodied"" in some way",Comments,Spatial.Cue.Katy
1,28,Transitive,Person,Free,SVO,,1,0.631129978,2,Spatial_Clipped_030,Girl kisses boy,SVO,,0,A,E,,NA
2,5,Transitive,Person,Case,VOS,,0,0.978047304,3,Spatial_Clipped_043,Girl kisses boy,OVS,,1,,,,NA
2,6,Intransitive,None,Case,VS,,0,0.978047304,3,Spatial_Clipped_043,Girl tumbles,VS,,0,,,,NA
2,7,Transitive,Person,Case,VSO,,0,0.978047304,3,Spatial_Clipped_043,Old lady pokes fireman,VSO,,1,,,,NA
2,8,Transitive,Object,Case,---,,0,0.978047304,3,Spatial_Clipped_043,Fireman lifts car,OVS,,1,,,,NA
2,9,Transitive,Object,Case,VSO,,0,0.599536166,3,Spatial_Clipped_044,Boy pokes heart,VSO,,1,,,,NA
2,10,Intransitive,None,Case,VS,,0,0.599536166,3,Spatial_Clipped_044,Heart falls,S/VS,,0,,,,NA
2,11,Intransitive,None,Case,VS,,0,0.599536166,3,Spatial_Clipped_044,Fireman falls,VS,,0,,,,NA
2,12,Intransitive,None,Case,VS,,0,0.599536166,3,Spatial_Clipped_044,Star jumps,VS,,0,,,,NA
2,13,Transitive,Person,Case,VSO,,0,0.414060832,3,Spatial_Clipped_045,Girl throws old lady,VSO,,1,,,,NA
2,14,Transitive,Person,Case,VSOV,,0,0.414060832,3,Spatial_Clipped_045,Old lady rubs fireman,VSO,,1,,E,,NA
2,15,Transitive,Object,Case,VOSVS,,0,0.414060832,3,Spatial_Clipped_045,Old lady kisses star,OV/OVS,,1,,,,NA
2,16,Transitive,Person,Case,VSO,,0,0.414060832,3,Spatial_Clipped_045,Fireman kicks girl,VSO,,1,,,,NA
2,17,Intransitive,None,Case,SVS,,0,0.295138413,3,Spatial_Clipped_046,Boy skates,SVS,X,0,,,,NA
2,18,Transitive,Person,Case,VSO,,0,0.295138413,3,Spatial_Clipped_046,Girl elbows old lady,VSO,,1,,E,,NA
2,19,Intransitive,None,Case,VS,,0,0.295138413,3,Spatial_Clipped_046,Ball rolls,VS,,0,,,,NA
2,20,Transitive,Object,Case,VSO,,0,0.295138413,3,Spatial_Clipped_046,Fireman throws star,VSO,,1,,E,,NA
2,21,Transitive,Person,Case,VSO,,0,0.97255103,3,Spatial_Clipped_047,Boy lifts girl,VSO,,1,,,,NA
2,22,Transitive,Object,Case,VSO,,0,0.97255103,3,Spatial_Clipped_047,Girl rubs heart,VSVO,X,1,,,,NA
2,23,Intransitive,None,Case,VS,,0,0.97255103,3,Spatial_Clipped_047,Car tumbles,VS,,0,,,,NA
2,24,Transitive,Object,Case,VSO,,0,0.97255103,3,Spatial_Clipped_047,Old lady elbows ball,VSO,,1,,,,NA
2,25,Transitive,Person,Case,VSO,,0,0.709996613,3,Spatial_Clipped_048,Fireman pushes boy,VSO,,1,,,,NA
2,26,Intransitive,None,Case,VS,,0,0.709996613,3,Spatial_Clipped_048,Old lady jumps,VS,,0,,,,NA
2,27,Transitive,Object,Case,VSO,,0,0.709996613,3,Spatial_Clipped_048,Girl pushes car,VSOV,X,1,,,,NA
2,28,Transitive,Object,Case,VSO,,0,0.709996613,3,Spatial_Clipped_048,Boy kicks ball,VSOV,X,1,,,,NA
2,5,Transitive,Person,Free,SOV,,1,0.768254678,3,Spatial_Clipped_037,Girl kisses boy,SOV,,0,,,,NA
2,6,Intransitive,None,Free,SV,,0,0.768254678,3,Spatial_Clipped_037,Girl tumbles,SVS,,0,,,,NA
2,7,Transitive,Person,Free,OSV,,1,0.768254678,3,Spatial_Clipped_037,Old lady pokes fireman,SOV,,0,,,,NA
2,8,Transitive,Object,Free,OSV,,1,0.768254678,3,Spatial_Clipped_037,Fireman lifts car,OSV,,0,,,,NA
2,9,Transitive,Object,Free,OSV,,1,0.319034922,3,Spatial_Clipped_038,Boy pokes heart,OSV,,1,,,,NA
2,10,Intransitive,None,Free,SV,,0,0.319034922,3,Spatial_Clipped_038,Heart falls,SV,,0,,,,NA
2,11,Intransitive,None,Free,SV,,0,0.319034922,3,Spatial_Clipped_038,Fireman falls,SV,,1,,,,NA
2,12,Intransitive,None,Free,SV,,0,0.319034922,3,Spatial_Clipped_038,Star jumps,SV,,0,,,,NA
2,13,Transitive,Person,Free,SOV,,1,0.615191754,3,Spatial_Clipped_039,Girl throws old lady,SOV,,1,,,Ambiguous because the left hand throws the right hand after case marking.,NA
2,14,Transitive,Person,Free,SOV,,1,0.615191754,3,Spatial_Clipped_039,Old lady rubs fireman,SOV,,1,,,Ambiguous because the left hand rubs the right hand after case marking,NA
2,15,Transitive,Object,Free,OSV,,1,0.615191754,3,Spatial_Clipped_039,Old lady kisses star,OSV,,1,,,,NA
