Participant,Original Filename ,Condition,New name,Clipped Files,Clipped Files,Clipped Files,Clipped Files,Clipped Files,Clipped Files,In AllData?
1,SC 1 G N 00016,FreeGesture,Spatial_01_Gesture.mp4,Spatial_Clipped_025,Spatial_Clipped_026,Spatial_Clipped_027,Spatial_Clipped_028,Spatial_Clipped_029,Spatial_Clipped_030,Yes
1,SC 1 G AI 00017,Case,Spatial_01_Case.mp4,Spatial_Clipped_031,Spatial_Clipped_032,Spatial_Clipped_033,Spatial_Clipped_034,Spatial_Clipped_035,Spatial_Clipped_036,Yes
2,SC 2 G N 00019,FreeGesture,Spatial_02_Gesture.mp4,Spatial_Clipped_037,Spatial_Clipped_038,Spatial_Clipped_039,Spatial_Clipped_040,Spatial_Clipped_041,Spatial_Clipped_042,Yes
2,SC 2 G AI 00020,Case,Spatial_02_Case.mp4,Spatial_Clipped_043,Spatial_Clipped_044,Spatial_Clipped_045,Spatial_Clipped_046,Spatial_Clipped_047,Spatial_Clipped_048,Yes
3,SC 3 G N2 00024,FreeGesture,Spatial_03_Gesture,Spatial_Clipped_049,Spatial_Clipped_050,Spatial_Clipped_051,Spatial_Clipped_052,Spatial_Clipped_053,Spatial_Clipped_054,Yes
3,"SC 3 G AI2 00026, SC 3 G AI3 00027",Case,Spatial_03_Case,Spatial_Clipped_055,Spatial_Clipped_056,Spatial_Clipped_057,Spatial_Clipped_058,Spatial_Clipped_059,Spatial_Clipped_060,Yes
4,SC 4 G N2 00031,FreeGesture,Spatial_04_Gesture,Spatial_Clipped_061,Spatial_Clipped_062,Spatial_Clipped_063,Spatial_Clipped_064,Spatial_Clipped_065,Spatial_Clipped_066,Yes
4,SC 4 G AI2 00033,Case,Spatial_04_Case,Spatial_Clipped_067,Spatial_Clipped_068,Spatial_Clipped_069,Spatial_Clipped_070,Spatial_Clipped_071,Spatial_Clipped_072,Yes
5,SC 5 G N 00214,FreeGesture,Spatial_05_Gesture.mp4,Spatial_Clipped_073,Spatial_Clipped_074,Spatial_Clipped_075,Spatial_Clipped_076,Spatial_Clipped_077,Spatial_Clipped_078,Yes
5,SC 5 G AI2 00216,Case,Spatial_05_Case.mp4,Spatial_Clipped_079,Spatial_Clipped_080,Spatial_Clipped_081,Spatial_Clipped_082,Spatial_Clipped_083,Spatial_Clipped_084,Yes
6,SC 6 G N2 00219,FreeGesture,Spatial_06_Gesture.mp4,Spatial_Clipped_085,Spatial_Clipped_086,Spatial_Clipped_087,Spatial_Clipped_088,Spatial_Clipped_089,Spatial_Clipped_090,Yes
6,SC 6 G AI 00220,Case,Spatial_06_Case.mp4,Spatial_Clipped_091,Spatial_Clipped_092,Spatial_Clipped_093,Spatial_Clipped_094,Spatial_Clipped_095,Spatial_Clipped_096,Yes
