"","Subject","GestureCondition","Trial.Number","Clipped.Movie.File","Word.Order","Word.Order.Recode","Initial.Coder","Blind.Coder"
"405",21,"Case",25,"Spatial_Clipped_012","SVO","SOV","Caitlin","Miguel"
"436",22,"Case",8,"Spatial_Clipped_019","SV","SOV","Eunice","Miguel"
"437",22,"Case",9,"Spatial_Clipped_020","SOV","SVO","Eunice","Miguel"
"439",22,"Case",11,"Spatial_Clipped_020","SOV","SVO","Eunice","Miguel"
"440",22,"Case",12,"Spatial_Clipped_020","SVO","SOV","Eunice","Miguel"
"441",22,"Case",13,"Spatial_Clipped_021","SOV","SVO","Eunice","Miguel"
"443",22,"Case",15,"Spatial_Clipped_021","---","SOV","Eunice","Miguel"
"445",22,"Case",17,"Spatial_Clipped_022","---","SOV","Eunice","Miguel"
"446",22,"Case",18,"Spatial_Clipped_022","SOV","SVO","Eunice","Miguel"
"452",22,"Case",24,"Spatial_Clipped_023","SOV","SVO","Eunice","Miguel"
"453",22,"Case",25,"Spatial_Clipped_024","SOV","SVO","Eunice","Miguel"
"454",22,"Case",26,"Spatial_Clipped_024","SVO","SOV","Eunice","Miguel"
"456",22,"Case",28,"Spatial_Clipped_024","SVO","SOV","Eunice","Miguel"
"475",22,"Free",23,"Spatial_Clipped_017","SV","SVV","Eunice","Miguel"
"529",25,"Case",5,"Spatial_Clipped_139","SV","SOV","Eunice","Miguel"
"530",25,"Case",6,"Spatial_Clipped_139","OSV","SV","Eunice","Miguel"
"531",25,"Case",7,"Spatial_Clipped_139","---","OSV","Eunice","Miguel"
"532",25,"Case",8,"Spatial_Clipped_139","OSV","SOV","Eunice","Miguel"
"533",25,"Case",9,"Spatial_Clipped_140","SV","OSV","Eunice","Miguel"
"536",25,"Case",12,"Spatial_Clipped_140","SOV","SV","Eunice","Miguel"
"537",25,"Case",13,"Spatial_Clipped_141","OSV","V","Eunice","Miguel"
"540",25,"Case",16,"Spatial_Clipped_141","SV","OSV","Eunice","Miguel"
"541",25,"Case",17,"Spatial_Clipped_142","SOV","SV","Eunice","Miguel"
"542",25,"Case",18,"Spatial_Clipped_142","SV","SOV","Eunice","Miguel"
"543",25,"Case",19,"Spatial_Clipped_142","SOV","SV","Eunice","Miguel"
"545",25,"Case",21,"Spatial_Clipped_143","OSV","V","Eunice","Miguel"
"546",25,"Case",22,"Spatial_Clipped_143","SV","OVS","Eunice","Miguel"
"547",25,"Case",23,"Spatial_Clipped_143","---","SV","Eunice","Miguel"
"548",25,"Case",24,"Spatial_Clipped_143","OSV","V","Eunice","Miguel"
"549",25,"Case",25,"Spatial_Clipped_144","SOV","OSV","Eunice","Miguel"
"552",25,"Case",28,"Spatial_Clipped_144","SOV","OSV","Eunice","Miguel"
"555",25,"Free",7,"Spatial_Clipped_133","VSOV","VOS","Eunice","Miguel"
"564",25,"Free",16,"Spatial_Clipped_135","V","OSV","Eunice","Miguel"
"565",25,"Free",17,"Spatial_Clipped_136","V","SV","Eunice","Miguel"
"568",25,"Free",20,"Spatial_Clipped_136","OV","OSV","Eunice","Miguel"
"573",25,"Free",25,"Spatial_Clipped_138","V","VO","Eunice","Miguel"
"576",25,"Free",28,"Spatial_Clipped_138","V","SOV","Eunice","Miguel"
"580",26,"Case",8,"Spatial_Clipped_151","---","SVO,SVO","Eunice","Miguel"
"587",26,"Case",15,"Spatial_Clipped_153","---","SO,SO,SOV","Eunice","Miguel"
"589",26,"Case",17,"Spatial_Clipped_154","SVO","SO,SVO","Eunice","Miguel"
"590",26,"Case",18,"Spatial_Clipped_154","SOSV","SO,SV","Eunice","Miguel"
"591",26,"Case",19,"Spatial_Clipped_154","SOSV","SOV","Eunice","Miguel"
"597",26,"Case",25,"Spatial_Clipped_156","OV","SOV","Eunice","Miguel"
"598",26,"Case",26,"Spatial_Clipped_156","SOSV","SO,SVO","Eunice","Miguel"
"601",26,"Free",5,"Spatial_Clipped_145","SVOV","SVO","Eunice","Miguel"
"602",26,"Free",6,"Spatial_Clipped_145","SV","SOV","Eunice","Miguel"
"603",26,"Free",7,"Spatial_Clipped_145","V","SV","Eunice","Miguel"
"606",26,"Free",10,"Spatial_Clipped_146","V","SV","Eunice","Miguel"
"607",26,"Free",11,"Spatial_Clipped_146","OVS","OV,S","Eunice","Miguel"
"612",26,"Free",16,"Spatial_Clipped_147","SV","V","Eunice","Miguel"
"620",26,"Free",24,"Spatial_Clipped_149","OV","SOV","Eunice","Miguel"
"621",26,"Free",25,"Spatial_Clipped_150","SOSV","OSV","Eunice","Miguel"
"628",27,"Case",8,"Spatial_Clipped_163","SOV","SVOV","Eunice","Miguel"
"630",27,"Case",10,"Spatial_Clipped_164","SV","SV,SV","Eunice","Miguel"
"633",27,"Case",13,"Spatial_Clipped_165","SVO","SVOV","Eunice","Miguel"
"634",27,"Case",14,"Spatial_Clipped_165","SVO","SVO,SV","Eunice","Miguel"
"636",27,"Case",16,"Spatial_Clipped_165","SOV","SVO,SOV","Eunice","Miguel"
"644",27,"Case",24,"Spatial_Clipped_167","SVOVO","SVO","Eunice","Miguel"
"650",27,"Free",6,"Spatial_Clipped_157","SV","VS","Eunice","Miguel"
"657",27,"Free",13,"Spatial_Clipped_159","SV","SVO","Eunice","Miguel"
"658",27,"Free",14,"Spatial_Clipped_159","SV","OSV","Eunice","Miguel"
"664",27,"Free",20,"Spatial_Clipped_160","OSOV","SVO","Eunice","Miguel"
"665",27,"Free",21,"Spatial_Clipped_161","SVO","VO","Eunice","Miguel"
"672",27,"Free",28,"Spatial_Clipped_162","SV","V","Eunice","Miguel"
"673",29,"Case",5,"Spatial_Clipped_187","SOSV","SOV","Eunice","Miguel"
"675",29,"Case",7,"Spatial_Clipped_187","SOSV","SOV","Eunice","Miguel"
"676",29,"Case",8,"Spatial_Clipped_187","SVOV","SVO","Eunice","Miguel"
"677",29,"Case",9,"Spatial_Clipped_188","SOSV","SOV","Eunice","Miguel"
"690",29,"Case",22,"Spatial_Clipped_191","SOVOV","SOV","Eunice","Miguel"
"711",29,"Free",19,"Spatial_Clipped_184","SV","SV,SV","Eunice","Miguel"
"717",29,"Free",25,"Spatial_Clipped_186","SV","SVO","Eunice","Miguel"
"725",30,"Case",9,"Spatial_Clipped_200","SOVSVOSOV","SOVSVOV","Eunice","Miguel"
"727",30,"Case",11,"Spatial_Clipped_200","SOVVO","SOVSVO","Eunice","Miguel"
"728",30,"Case",12,"Spatial_Clipped_200","SOSOV","SVO","Eunice","Miguel"
"734",30,"Case",18,"Spatial_Clipped_202","SOV","SVO","Eunice","Miguel"
"735",30,"Case",19,"Spatial_Clipped_202","SO?","SVO","Eunice","Miguel"
"736",30,"Case",20,"Spatial_Clipped_202","SOSVOV","SVO","Eunice","Miguel"
"740",30,"Case",24,"Spatial_Clipped_203","OSVVO","OSVO","Eunice","Miguel"
"741",30,"Case",25,"Spatial_Clipped_204","OSOV","OSVO","Eunice","Miguel"
"742",30,"Case",26,"Spatial_Clipped_204","SOSVOVSV","SVOV","Eunice","Miguel"
"744",30,"Case",28,"Spatial_Clipped_204","SOSVO","SVO","Eunice","Miguel"
"745",30,"Free",5,"Spatial_Clipped_193","OV","SOV","Eunice","Miguel"
"746",30,"Free",6,"Spatial_Clipped_193","OVS","OSV","Eunice","Miguel"
"748",30,"Free",8,"Spatial_Clipped_193","VO","OSV","Eunice","Miguel"
"749",30,"Free",9,"Spatial_Clipped_194","SOVO","SO,SVO","Eunice","Miguel"
"751",30,"Free",11,"Spatial_Clipped_194","SOVOV","SOV","Eunice","Miguel"
"753",30,"Free",13,"Spatial_Clipped_195","SOV","SOV,SVO","Eunice","Miguel"
"755",30,"Free",15,"Spatial_Clipped_195","SVO","SO,SVO","Eunice","Miguel"
"757",30,"Free",17,"Spatial_Clipped_196","SVO","SOV","Eunice","Miguel"
"759",30,"Free",19,"Spatial_Clipped_196","SVO","SOV","Eunice","Miguel"
"764",30,"Free",24,"Spatial_Clipped_197","SVO","OSVO","Eunice","Miguel"
"765",30,"Free",25,"Spatial_Clipped_198","OVSOV","OSV","Eunice","Miguel"
"768",30,"Free",28,"Spatial_Clipped_198","SVO","SVOV","Eunice","Miguel"
"841",32,"Free",5,"Spatial_Clipped_217","OV","SV","Eunice","Miguel"
"844",32,"Free",8,"Spatial_Clipped_217","OV"," OV","Eunice","Miguel"
"845",32,"Free",9,"Spatial_Clipped_218","SOV"," SOV","Eunice","Miguel"
"865",33,"Case",5,"Spatial_Clipped_235","SOV","SO,SOV","Caitlin","Miguel"
"873",33,"Case",13,"Spatial_Clipped_237","SOV","SO,SO,SOV,V,SVO,V","Caitlin","Miguel"
"875",33,"Case",15,"Spatial_Clipped_237","SOV","SOV,V","Caitlin","Miguel"
"877",33,"Case",17,"Spatial_Clipped_238","SOV","SV","Caitlin","Miguel"
"885",33,"Case",25,"Spatial_Clipped_240","SOV","SO,SOV","Caitlin","Miguel"
"892",33,"Free",8,"Spatial_Clipped_229","SOSV","SOV","Caitlin","Miguel"
"893",33,"Free",9,"Spatial_Clipped_230","SOSV","SOV","Caitlin","Miguel"
"898",33,"Free",14,"Spatial_Clipped_231","SOSOV","SOSV","Caitlin","Miguel"
"902",33,"Free",18,"Spatial_Clipped_232","SOSOV","OSV","Caitlin","Miguel"
"904",33,"Free",20,"Spatial_Clipped_232","SOSV","SO,SOV","Caitlin","Miguel"
"905",33,"Free",21,"Spatial_Clipped_233","SOV","SOSV","Caitlin","Miguel"
"908",33,"Free",24,"Spatial_Clipped_233","SOSOV","SO,SOV","Caitlin","Miguel"
"909",33,"Free",25,"Spatial_Clipped_234","SOSOV","SOV","Caitlin","Miguel"
"911",33,"Free",27,"Spatial_Clipped_234","SOSVO","SO,SVO","Caitlin","Miguel"
"912",33,"Free",28,"Spatial_Clipped_234","SOSOV","SO,SOV","Caitlin","Miguel"
"937",34,"Free",5,"Spatial_Clipped_241","SVO","V/SVO","Eunice","Miguel"
"938",34,"Free",6,"Spatial_Clipped_241","VO","SVO","Eunice","Miguel"
"956",34,"Free",24,"Spatial_Clipped_245","SVO","SO","Eunice","Miguel"
"960",34,"Free",28,"Spatial_Clipped_246","OSV","SV","Eunice","Miguel"
"971",36,"Case",15,"Spatial_Clipped_261","OSV","SOV","Eunice","Miguel"
"989",36,"Free",9,"Spatial_Clipped_254","SVO","SOV","Eunice","Miguel"
"1012",37,"Case",8,"Spatial_Clipped_271","SOV","OV","Eunice","Miguel"
"1022",37,"Case",18,"Spatial_Clipped_274","?","SOV","Eunice","Miguel"
"1028",37,"Case",24,"Spatial_Clipped_275","SVO","SOV","Eunice","Miguel"
"1029",37,"Case",25,"Spatial_Clipped_276","SVO","SVOV","Eunice","Miguel"
"1033",37,"Free",5,"Spatial_Clipped_265","OV","SV","Eunice","Miguel"
"1057",38,"Case",5,"Spatial_Clipped_283","SO,SVO","SVO","Eunice","Miguel"
"1061",38,"Case",9,"Spatial_Clipped_284","SO,SVO","SVO","Eunice","Miguel"
"1070",38,"Case",18,"Spatial_Clipped_286","SO,SVO","SVO","Eunice","Miguel"
"1080",38,"Case",28,"Spatial_Clipped_288","SO,SVO","SVO","Eunice","Miguel"
"1105",46,"Case",5,"Spatial_Clipped_307","O","OV","Miguel","Caitlin"
"1107",46,"Case",7,"Spatial_Clipped_307","V","SV","Miguel","Caitlin"
"1116",46,"Case",16,"Spatial_Clipped_309","V","SV","Miguel","Caitlin"
"1117",46,"Case",17,"Spatial_Clipped_310","VO","SVO","Miguel","Caitlin"
"1119",46,"Case",19,"Spatial_Clipped_310","V","V/V","Miguel","Caitlin"
"1124",46,"Case",24,"Spatial_Clipped_311","V","SV/SV","Miguel","Caitlin"
"1132",46,"Free",8,"Spatial_Clipped_301","SVO","SV","Miguel","Caitlin"
"1134",46,"Free",10,"Spatial_Clipped_302","(SV)","SV","Miguel","Caitlin"
"1146",46,"Free",22,"Spatial_Clipped_305","SV","V","Miguel","Caitlin"
"1148",46,"Free",24,"Spatial_Clipped_305","SVO","OVO","Miguel","Caitlin"
"1153",47,"Case",5,"Spatial_Clipped_319","SOSV","SOV","Miguel","Mitchell"
"1158",47,"Case",10,"Spatial_Clipped_320","SV","(SV)","Miguel","Mitchell"
"1161",47,"Case",13,"Spatial_Clipped_321","SOSOV","SOV/V/V","Miguel","Mitchell"
"1162",47,"Case",14,"Spatial_Clipped_321","SOSV","SOV","Miguel","Mitchell"
"1164",47,"Case",16,"Spatial_Clipped_321","SOSVO","SOV","Miguel","Mitchell"
"1166",47,"Case",18,"Spatial_Clipped_322","SOSOV","SOV","Miguel","Mitchell"
"1168",47,"Case",20,"Spatial_Clipped_322","SOSV","SOV","Miguel","Mitchell"
"1170",47,"Case",22,"Spatial_Clipped_323","SOSV","SOS(OV)","Miguel","Mitchell"
"1172",47,"Case",24,"Spatial_Clipped_323","SOSOV","SOSV","Miguel","Mitchell"
"1174",47,"Case",26,"Spatial_Clipped_324","?","SV","Miguel","Mitchell"
"1176",47,"Case",28,"Spatial_Clipped_324","SOSVO","SOSV","Miguel","Mitchell"
"1177",47,"Free",5,"Spatial_Clipped_313","V","SV","Miguel","Mitchell"
"1178",47,"Free",6,"Spatial_Clipped_313","V","(SV)","Miguel","Mitchell"
"1179",47,"Free",7,"Spatial_Clipped_313","V","(SV)","Miguel","Mitchell"
"1180",47,"Free",8,"Spatial_Clipped_313","V","(SV)","Miguel","Mitchell"
"1182",47,"Free",10,"Spatial_Clipped_314","SV","(SV)","Miguel","Mitchell"
"1183",47,"Free",11,"Spatial_Clipped_314","V","SV","Miguel","Mitchell"
"1185",47,"Free",13,"Spatial_Clipped_315","SOV","SVOV","Miguel","Mitchell"
"1187",47,"Free",15,"Spatial_Clipped_315","SOV","SOSV","Miguel","Mitchell"
"1197",47,"Free",25,"Spatial_Clipped_318","SVOVO","SV/OSVO","Miguel","Mitchell"
"1200",47,"Free",28,"Spatial_Clipped_318","SOV","SOSV","Miguel","Mitchell"
"1276",49,"Free",8,"Spatial_Clipped_337","V","V/V","Miguel","Caitlin"
"1278",49,"Free",10,"Spatial_Clipped_338","SV","SV/SV","Miguel","Caitlin"
"1297",50,"Case",5,"Spatial_Clipped_355","OSV","(SOV)","Miguel","Mitchell"
"1298",50,"Case",6,"Spatial_Clipped_355","SOV","(SOV)","Miguel","Mitchell"
"1299",50,"Case",7,"Spatial_Clipped_355","SV","(SV)","Miguel","Mitchell"
"1300",50,"Case",8,"Spatial_Clipped_355","(SO)V","(SOV)","Miguel","Mitchell"
"1301",50,"Case",9,"Spatial_Clipped_356","OSV","(SOV)","Miguel","Mitchell"
"1302",50,"Case",10,"Spatial_Clipped_356","SV","(SV)","Miguel","Mitchell"
"1303",50,"Case",11,"Spatial_Clipped_356","OSV","(SOV)","Miguel","Mitchell"
"1304",50,"Case",12,"Spatial_Clipped_356","(SO)V","(SOV)","Miguel","Mitchell"
"1305",50,"Case",13,"Spatial_Clipped_357","OSV","OV","Miguel","Mitchell"
"1306",50,"Case",14,"Spatial_Clipped_357","SV","V","Miguel","Mitchell"
"1307",50,"Case",15,"Spatial_Clipped_357","OSV","(SOV)","Miguel","Mitchell"
"1308",50,"Case",16,"Spatial_Clipped_357","SV","(SV)","Miguel","Mitchell"
"1309",50,"Case",17,"Spatial_Clipped_358","(SO)V","(SOV)","Miguel","Mitchell"
"1310",50,"Case",18,"Spatial_Clipped_358","OSV","OV","Miguel","Mitchell"
"1311",50,"Case",19,"Spatial_Clipped_358","SOV","(SOV)","Miguel","Mitchell"
"1312",50,"Case",20,"Spatial_Clipped_358","(SO)V","(SOV)","Miguel","Mitchell"
"1314",50,"Case",22,"Spatial_Clipped_359","SV","(SV)","Miguel","Mitchell"
"1316",50,"Case",24,"Spatial_Clipped_359","OSV","(SOV)","Miguel","Mitchell"
"1317",50,"Case",25,"Spatial_Clipped_360","SOV","(SOV)","Miguel","Mitchell"
"1318",50,"Case",26,"Spatial_Clipped_360","(SO)V","(SOV)","Miguel","Mitchell"
"1319",50,"Case",27,"Spatial_Clipped_360","SV","(SV)","Miguel","Mitchell"
"1320",50,"Case",28,"Spatial_Clipped_360","(SO)V","(SOV)","Miguel","Mitchell"
"1321",50,"Free",5,"Spatial_Clipped_349","OV","SOV","Miguel","Mitchell"
"1324",50,"Free",8,"Spatial_Clipped_349","V","SV","Miguel","Mitchell"
"1332",50,"Free",16,"Spatial_Clipped_351","SV","V","Miguel","Mitchell"
"1333",50,"Free",17,"Spatial_Clipped_352","SVO","SV(SOV)","Miguel","Mitchell"
"1334",50,"Free",18,"Spatial_Clipped_352","OV","O(SOV)","Miguel","Mitchell"
"1338",50,"Free",22,"Spatial_Clipped_353","SV","(SV)","Miguel","Mitchell"
"1339",50,"Free",23,"Spatial_Clipped_353","SV","(SV)","Miguel","Mitchell"
"1341",50,"Free",25,"Spatial_Clipped_354","SKIPPED","N/A","Miguel","Mitchell"
"1343",50,"Free",27,"Spatial_Clipped_354","SV","(SV)","Miguel","Mitchell"
"1344",50,"Free",28,"Spatial_Clipped_354","(SO)V","(SOV)","Miguel","Mitchell"
"1345",52,"Case",5,"Spatial_Clipped_367","SOV","OSV","Miguel","Caitlin"
"1346",52,"Case",6,"Spatial_Clipped_367","SVO","SOV","Miguel","Caitlin"
"1348",52,"Case",8,"Spatial_Clipped_367","SOSOV","SOV","Miguel","Caitlin"
"1352",52,"Case",12,"Spatial_Clipped_368","SOSOV","SOV","Miguel","Caitlin"
"1353",52,"Case",13,"Spatial_Clipped_369","SOSV","SOV","Miguel","Caitlin"
"1355",52,"Case",15,"Spatial_Clipped_369","OSOV","SOV","Miguel","Caitlin"
"1360",52,"Case",20,"Spatial_Clipped_370","SOSVO","SOV","Miguel","Caitlin"
"1364",52,"Case",24,"Spatial_Clipped_371","OSOV","OSV","Miguel","Caitlin"
"1368",52,"Case",28,"Spatial_Clipped_372","OSOV","OSV","Miguel","Caitlin"
"1370",52,"Free",6,"Spatial_Clipped_361","OSVO","OSV","Miguel","Caitlin"
"1372",52,"Free",8,"Spatial_Clipped_361","SOSVO","SOV","Miguel","Caitlin"
"1373",52,"Free",9,"Spatial_Clipped_362","SOSOVO","SOVO","Miguel","Caitlin"
"1383",52,"Free",19,"Spatial_Clipped_364","OSV","SOV","Miguel","Caitlin"
"1420",53,"Free",8,"Spatial_Clipped_373","SVO","SVOV","Miguel","Mitchell"
"1437",53,"Free",25,"Spatial_Clipped_378","SOV","SVO","Miguel","Mitchell"
"1440",53,"Free",28,"Spatial_Clipped_378","SOV","SVO(OV)","Miguel","Mitchell"
"1537",58,"Case",5,"Spatial_Clipped_415","SOV","S(VO)","Miguel","Cristina"
"1541",58,"Case",9,"Spatial_Clipped_416","SV","SOV","Miguel","Cristina"
"1587",60,"Case",7,"Spatial_Clipped_427","SV","(SV)","Miguel","Caitlin"
"1589",60,"Case",9,"Spatial_Clipped_428","OVOSV","OV/OSV","Miguel","Caitlin"
"1590",60,"Case",10,"Spatial_Clipped_428","SVSV","SV","Miguel","Caitlin"
"1591",60,"Case",11,"Spatial_Clipped_428","O(SV)","OSV","Miguel","Caitlin"
"1592",60,"Case",12,"Spatial_Clipped_428","(SO)V","S(OV)","Miguel","Caitlin"
"1595",60,"Case",15,"Spatial_Clipped_429","(SO)V","OSV","Miguel","Caitlin"
"1599",60,"Case",19,"Spatial_Clipped_430","(SO)V","SOV","Miguel","Caitlin"
"1600",60,"Case",20,"Spatial_Clipped_430","(SO)V","SOV","Miguel","Caitlin"
"1608",60,"Case",28,"Spatial_Clipped_432","SOV","OSV","Miguel","Caitlin"
"1611",60,"Free",7,"Spatial_Clipped_421","SV","V","Miguel","Caitlin"
"1613",60,"Free",9,"Spatial_Clipped_422","SV","OV","Miguel","Caitlin"
"1616",60,"Free",12,"Spatial_Clipped_422","(SO)V","OSV","Miguel","Caitlin"
"1629",60,"Free",25,"Spatial_Clipped_426","SOV","OSV","Miguel","Caitlin"
"1630",60,"Free",26,"Spatial_Clipped_426","SV","OSV","Miguel","Caitlin"
"1636",61,"Case",8,"Spatial_Clipped_439","OSV","(SO)V","Miguel","Caitlin"
"1641",61,"Case",13,"Spatial_Clipped_441","(SO)V","SOV","Miguel","Caitlin"
"1642",61,"Case",14,"Spatial_Clipped_441","OSV","SOV","Miguel","Caitlin"
"1648",61,"Case",20,"Spatial_Clipped_442","SOV","OSV","Miguel","Caitlin"
"1650",61,"Case",22,"Spatial_Clipped_443","OSV","SOV","Miguel","Caitlin"
"1655",61,"Case",27,"Spatial_Clipped_444","OSV","SOV","Miguel","Caitlin"
"1660",61,"Free",8,"Spatial_Clipped_433","(SO)V","SOV","Miguel","Caitlin"
"1668",61,"Free",16,"Spatial_Clipped_435","SOV","(SO)V","Miguel","Caitlin"
"1673",61,"Free",21,"Spatial_Clipped_437","(SO)V","SOV","Miguel","Caitlin"
"1681",62,"Case",5,"Spatial_Clipped_451 ","SOV","SOV ","Miguel","Caitlin"
"1682",62,"Case",6,"Spatial_Clipped_451 ","SOSV","SOV ","Miguel","Caitlin"
"1683",62,"Case",7,"Spatial_Clipped_451 ","SV","SV ","Miguel","Caitlin"
"1684",62,"Case",8,"Spatial_Clipped_451 ","SOSV","SOV ","Miguel","Caitlin"
"1685",62,"Case",9,"Spatial_Clipped_452 ","SOV","SOV ","Miguel","Caitlin"
"1686",62,"Case",10,"Spatial_Clipped_452 ","SV","SV ","Miguel","Caitlin"
"1687",62,"Case",11,"Spatial_Clipped_452 ","SOV","SOV ","Miguel","Caitlin"
"1688",62,"Case",12,"Spatial_Clipped_452 ","SOV","SOV ","Miguel","Caitlin"
"1689",62,"Case",13,"Spatial_Clipped_453 ","SOV","SOV ","Miguel","Caitlin"
"1690",62,"Case",14,"Spatial_Clipped_453 ","SV","SV ","Miguel","Caitlin"
"1691",62,"Case",15,"Spatial_Clipped_453 ","OSV","OSV ","Miguel","Caitlin"
"1692",62,"Case",16,"Spatial_Clipped_453 ","SV","SV ","Miguel","Caitlin"
"1693",62,"Case",17,"Spatial_Clipped_454 ","SOSV","SOV ","Miguel","Caitlin"
"1694",62,"Case",18,"Spatial_Clipped_454 ","SOV","SOV ","Miguel","Caitlin"
"1695",62,"Case",19,"Spatial_Clipped_454 ","SOV","SOV ","Miguel","Caitlin"
"1696",62,"Case",20,"Spatial_Clipped_454 ","SOSV","SOV ","Miguel","Caitlin"
"1697",62,"Case",21,"Spatial_Clipped_455 ","SV","SV ","Miguel","Caitlin"
"1698",62,"Case",22,"Spatial_Clipped_455 ","SV","SV ","Miguel","Caitlin"
"1699",62,"Case",23,"Spatial_Clipped_455 ","SV","SV ","Miguel","Caitlin"
"1700",62,"Case",24,"Spatial_Clipped_455 ","SOVO","SOV ","Miguel","Caitlin"
"1701",62,"Case",25,"Spatial_Clipped_456 ","SOV","SOV ","Miguel","Caitlin"
"1702",62,"Case",26,"Spatial_Clipped_456 ","SOV","SOV ","Miguel","Caitlin"
"1703",62,"Case",27,"Spatial_Clipped_456 ","SV","SV ","Miguel","Caitlin"
