"","Subject","GestureCondition","Trial.Number","Clipped.Movie.File","Word.Order","Word.Order.Recode","Initial.Coder","Blind.Coder"
"2",1,"Case",6,"Spatial_Clipped_031","OSV","SOV","Eunice","Miguel"
"25",1,"Free",5,"Spatial_Clipped_025","SVOV","VOV","Eunice","Miguel"
"34",1,"Free",14,"Spatial_Clipped_027","SV","  SV","Eunice","Miguel"
"35",1,"Free",15,"Spatial_Clipped_027","SOVS?","OS/SVO","Eunice","Miguel"
"42",1,"Free",22,"Spatial_Clipped_029","SV","V","Eunice","Miguel"
"98",3,"Case",6,"Spatial_Clipped_055","OSV","SOV","Eunice","Miguel"
"110",3,"Case",18,"Spatial_Clipped_058","SOSV","SOV","Eunice","Miguel"
"118",3,"Case",26,"Spatial_Clipped_060","OSV","OS,V","Eunice","Miguel"
"120",3,"Case",28,"Spatial_Clipped_060","OSV","SOV","Eunice","Miguel"
"124",3,"Free",8,"Spatial_Clipped_049","SOSV","SOV","Eunice","Miguel"
"133",3,"Free",17,"Spatial_Clipped_052","SOSV","SOV","Eunice","Miguel"
"134",3,"Free",18,"Spatial_Clipped_052","SOV","SOSV","Eunice","Miguel"
"135",3,"Free",19,"Spatial_Clipped_052","SOSV","SOVO","Eunice","Miguel"
"136",3,"Free",20,"Spatial_Clipped_052","SOSOV","SOV","Eunice","Miguel"
"140",3,"Free",24,"Spatial_Clipped_053","SOSV","SOV","Eunice","Miguel"
"144",3,"Free",28,"Spatial_Clipped_054","SOSOV","SOV","Eunice","Miguel"
"172",4,"Free",8,"Spatial_Clipped_061","O","VO","Eunice","Miguel"
"189",4,"Free",25,"Spatial_Clipped_066","SOV","OSV","Eunice","Miguel"
"194",5,"Case",6,"Spatial_Clipped_079","VSO","V,SOV","Eunice","Miguel"
"195",5,"Case",7,"Spatial_Clipped_079","VSV","V,SV","Eunice","Miguel"
"196",5,"Case",8,"Spatial_Clipped_079","VSOV","V,SOV","Eunice","Miguel"
"197",5,"Case",9,"Spatial_Clipped_080","VOSV","V,OSV","Eunice","Miguel"
"198",5,"Case",10,"Spatial_Clipped_080","VSV","V,SV","Eunice","Miguel"
"199",5,"Case",11,"Spatial_Clipped_080","VSOV","V,SOV","Eunice","Miguel"
"200",5,"Case",12,"Spatial_Clipped_080","VSOV","V,SOV","Eunice","Miguel"
"201",5,"Case",13,"Spatial_Clipped_081","VSOV","V,SOV","Eunice","Miguel"
"202",5,"Case",14,"Spatial_Clipped_081","VSV","V,SV","Eunice","Miguel"
"203",5,"Case",15,"Spatial_Clipped_081","VOSV","V,OSV","Eunice","Miguel"
"204",5,"Case",16,"Spatial_Clipped_081","VSV","V,SV","Eunice","Miguel"
"205",5,"Case",17,"Spatial_Clipped_082","VSOV","V,SOV","Eunice","Miguel"
"206",5,"Case",18,"Spatial_Clipped_082","VOSV","V,OSV","Eunice","Miguel"
"207",5,"Case",19,"Spatial_Clipped_082","VOSV","V,OSV","Eunice","Miguel"
"208",5,"Case",20,"Spatial_Clipped_082","VSOV","V,SOV","Eunice","Miguel"
"209",5,"Case",21,"Spatial_Clipped_083","VSV","V,SV","Eunice","Miguel"
"210",5,"Case",22,"Spatial_Clipped_083","VSV","V,SV","Eunice","Miguel"
"211",5,"Case",23,"Spatial_Clipped_083","VSV","V,SV","Eunice","Miguel"
"212",5,"Case",24,"Spatial_Clipped_083","VOSV","V,OSV","Eunice","Miguel"
"213",5,"Case",25,"Spatial_Clipped_084","VSOV","V,SOV","Eunice","Miguel"
"214",5,"Case",26,"Spatial_Clipped_084","VSOV","V,SOV","Eunice","Miguel"
"215",5,"Case",27,"Spatial_Clipped_084","VSV","V,SV","Eunice","Miguel"
"216",5,"Case",28,"Spatial_Clipped_084","VOSV","V,OSV","Eunice","Miguel"
"227",5,"Free",15,"Spatial_Clipped_075","SVOV","SVO,V","Eunice","Miguel"
"233",5,"Free",21,"Spatial_Clipped_077","SV","S,SV","Eunice","Miguel"
"289",7,"Case",5,"Spatial_Clipped_103","SOV","OSV","Eunice","Miguel"
"337",8,"Case",5,"Spatial_Clipped_115","SOV","OSV","Eunice","Miguel"
"348",8,"Case",16,"Spatial_Clipped_117","SV","S","Eunice","Miguel"
"352",8,"Case",20,"Spatial_Clipped_118","SOV"," SOV","Eunice","Miguel"
"362",8,"Free",6,"Spatial_Clipped_109","SV","OV","Eunice","Miguel"
"392",21,"Case",12,"Spatial_Clipped_008","SOV","SVO","Caitlin","Miguel"
"393",21,"Case",13,"Spatial_Clipped_009","SVOV","SVO","Caitlin","Miguel"
"395",21,"Case",15,"Spatial_Clipped_009","SVOV","SVO","Caitlin","Miguel"
"396",21,"Case",16,"Spatial_Clipped_009","SV/SV","SV,SV","Caitlin","Miguel"
"400",21,"Case",20,"Spatial_Clipped_010","SVOV","SVO","Caitlin","Miguel"
