"","Subject","Clipped.Movie.File","Trial.Number","GestureCondition","Object.Type","Sentence","Used.ASL","Final.Full.WordOrder","WordOrder","WordOrder.Classified","SpatialCue","Agent.Embod","Verb.Embod","Patient.Embod","WordOrder.Embod.Classified","ToInclude.Participant"
"58",3,"Spatial_Clipped_058",18,"Case","Object","Old lady kisses star","","SOSV","OSV","VerbLateral","Spatial.Present","1","1","0","Adjacent",1
"59",3,"Spatial_Clipped_058",19,"Case","Person","Old lady rubs fireman","","SOV","SOV","VerbLateral","Spatial.Present","1","1","1","NonAdjacent",1
"60",3,"Spatial_Clipped_058",20,"Case","Person","Girl throws old lady","","SOV","SOV","VerbLateral","Spatial.Present","1","1","1","NonAdjacent",1
"61",3,"Spatial_Clipped_059",24,"Case","Object","Boy pokes heart","","SOV","SOV","VerbLateral","Spatial.Present","1","1","0","NonAdjacent",1
"62",3,"Spatial_Clipped_060",25,"Case","Object","Fireman lifts car","","SOV","SOV","VerbLateral","Spatial.Present","1","1","0","NonAdjacent",1
"63",3,"Spatial_Clipped_060",26,"Case","Person","Old lady pokes fireman","","OSV","OSV","VerbLateral","Spatial.Present","1","1","1","Adjacent",1
"64",3,"Spatial_Clipped_060",28,"Case","Person","Girl kisses boy","","SOV","SOV","VerbLateral","Spatial.Present","1","0","1","NonAdjacent",1
"65",4,"Spatial_Clipped_061",5,"Free","Person","Girl kisses boy","","SV","SV","Unclassified","Spatial.Absent","1","1","0","Unclassified",1
"66",4,"Spatial_Clipped_061",7,"Free","Person","Old lady pokes fireman","","SV","SV","Unclassified","Spatial.Absent","1","1","0","Unclassified",1
"67",4,"Spatial_Clipped_061",8,"Free","Object","Fireman lifts car","","VO","VO","Unclassified","Spatial.Absent","0","1","0","Unclassified",1
"68",4,"Spatial_Clipped_062",9,"Free","Object","Boy pokes heart","","SOV","SOV","VerbLateral","Spatial.Absent","0","1","0","NonAdjacent",1
"69",4,"Spatial_Clipped_063",13,"Free","Person","Girl throws old lady","","SOV","SOV","VerbLateral","Spatial.Absent","1","1","1","NonAdjacent",1
"70",4,"Spatial_Clipped_063",14,"Free","Person","Old lady rubs fireman","","OSV","OSV","VerbLateral","Spatial.Present","1","1","0","Adjacent",1
"71",4,"Spatial_Clipped_063",15,"Free","Object","Old lady kisses star","","SOV","SOV","VerbLateral","Spatial.Present","1","1","0","NonAdjacent",1
"72",4,"Spatial_Clipped_063",16,"Free","Person","Fireman kicks girl","","SOV","SOV","VerbLateral","Spatial.Absent","0","1","1","NonAdjacent",1
"73",4,"Spatial_Clipped_064",18,"Free","Person","Girl elbows old lady","","OSV","OSV","VerbLateral","Spatial.Absent","1","1","0","Adjacent",1
"74",4,"Spatial_Clipped_064",20,"Free","Object","Fireman throws star","","SOV","SOV","VerbLateral","Spatial.Absent","0","1","0","NonAdjacent",1
"75",4,"Spatial_Clipped_065",21,"Free","Person","Boy lifts girl","","SOV","SOV","VerbLateral","Spatial.Absent","1","1","1","NonAdjacent",1
"76",4,"Spatial_Clipped_065",22,"Free","Object","Girl rubs heart","","SOV","SOV","VerbLateral","Spatial.Absent","1","1","0","NonAdjacent",1
"77",4,"Spatial_Clipped_065",24,"Free","Object","Old lady elbows ball","","SOV","SOV","VerbLateral","Spatial.Absent","1","1","0","NonAdjacent",1
"78",4,"Spatial_Clipped_066",25,"Free","Person","Fireman pushes boy","","SOV","SOV","VerbLateral","Spatial.Absent","0","1","0","NonAdjacent",1
"79",4,"Spatial_Clipped_066",27,"Free","Object","Girl pushes car","","SOV","SOV","VerbLateral","Spatial.Absent","1","1","0","NonAdjacent",1
"80",4,"Spatial_Clipped_066",28,"Free","Object","Boy kicks ball","","SOV","SOV","VerbLateral","Spatial.Absent","0","0","0","NonAdjacent",1
"81",4,"Spatial_Clipped_067",5,"Case","Person","Girl kisses boy","","OSV","OSV","VerbLateral","Spatial.Present","1","0","0","Adjacent",1
"82",4,"Spatial_Clipped_067",7,"Case","Person","Old lady pokes fireman","","SOV","SOV","VerbLateral","Spatial.Present","1","0","0","NonAdjacent",1
"83",4,"Spatial_Clipped_067",8,"Case","Object","Fireman lifts car","","SOV","SOV","VerbLateral","Spatial.Present","0","0","0","NonAdjacent",1
"84",4,"Spatial_Clipped_068",9,"Case","Object","Boy pokes heart","","OSV","OSV","VerbLateral","Spatial.Present","0","0","0","Adjacent",1
"85",4,"Spatial_Clipped_069",13,"Case","Person","Girl throws old lady","","SOV","SOV","VerbLateral","Spatial.Present","1","0","1","NonAdjacent",1
"86",4,"Spatial_Clipped_069",14,"Case","Person","Old lady rubs fireman","","OSV","OSV","VerbLateral","Spatial.Present","1","0","0","Adjacent",1
"87",4,"Spatial_Clipped_069",15,"Case","Object","Old lady kisses star","","SOV","SOV","VerbLateral","Spatial.Present","1","0","0","NonAdjacent",1
"88",4,"Spatial_Clipped_069",16,"Case","Person","Fireman kicks girl","","SOV","SOV","VerbLateral","Spatial.Present","0","0","1","NonAdjacent",1
"89",4,"Spatial_Clipped_070",18,"Case","Person","Girl elbows old lady","","OSV","OSV","VerbLateral","Spatial.Present","1","0","1","Adjacent",1
"90",4,"Spatial_Clipped_070",20,"Case","Object","Fireman throws star","","SOV","SOV","VerbLateral","Spatial.Present","0","0","0","NonAdjacent",1
"91",4,"Spatial_Clipped_071",21,"Case","Person","Boy lifts girl","","SOV","SOV","VerbLateral","Spatial.Present","0","0","1","NonAdjacent",1
"92",4,"Spatial_Clipped_071",22,"Case","Object","Girl rubs heart","","OSV","OSV","VerbLateral","Spatial.Present","1","0","0","Adjacent",1
"93",4,"Spatial_Clipped_071",24,"Case","Object","Old lady elbows ball","","OSV","OSV","VerbLateral","Spatial.Present","1","0","0","Adjacent",1
"94",4,"Spatial_Clipped_072",25,"Case","Person","Fireman pushes boy","","SOV","SOV","VerbLateral","Spatial.Present","0","0","1","NonAdjacent",1
"95",4,"Spatial_Clipped_072",27,"Case","Object","Girl pushes car","","SOV","SOV","VerbLateral","Spatial.Present","1","0","0","NonAdjacent",1
"96",4,"Spatial_Clipped_072",28,"Case","Object","Boy kicks ball","","OSV","OSV","VerbLateral","Spatial.Present","1","0","0","Adjacent",1
"97",5,"Spatial_Clipped_073",5,"Free","Object","Boy kicks ball","","SOV","SOV","VerbLateral","Spatial.Present","1","1","0","NonAdjacent",1
"98",5,"Spatial_Clipped_073",6,"Free","Object","Girl pushes car","","SOV","SOV","VerbLateral","Spatial.Present","1","1","0","NonAdjacent",1
"99",5,"Spatial_Clipped_073",8,"Free","Person","Fireman pushes boy","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","1","Adjacent",1
"100",5,"Spatial_Clipped_074",11,"Free","Object","Girl rubs heart","","OSV","OSV","VerbLateral","Spatial.Present","1","1","0","Adjacent",1
