,Subject,GestureCondition,Trial.Number,Clipped.Movie.File,Event,Eun.Last3,Mig.Last3,Initial.Coder,Blind.Coder,Final.Decision,Final.Clean,Multiple.V,Discussed.With,Disagree.Reason
2,1,Case,6,Spatial_Clipped_031,Girl pushes car,OSV,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,SO Confusion
35,1,Free,15,Spatial_Clipped_027,Girl elbows old lady,OVS,SVO,Eunice,Miguel,OSSVO,SVO,0,Mitchell,SO Confusion
98,3,Case,6,Spatial_Clipped_055,Girl pushes car,OSV,SOV,Eunice,Miguel,SOSV,OSV,0,Mitchell,SO Confusion
110,3,Case,18,Spatial_Clipped_058,Old lady kisses star,OSV,SOV,Eunice,Miguel,SOSV,OSV,0,Mitchell,SO Confusion
120,3,Case,28,Spatial_Clipped_060,Girl kisses boy,OSV,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,SO Confusion
124,3,Free,8,Spatial_Clipped_049,Fireman pushes boy,OSV,SOV,Eunice,Miguel,SOSV,OSV,0,Mitchell,SO Confusion
133,3,Free,17,Spatial_Clipped_052,Fireman kicks girl,OSV,SOV,Eunice,Miguel,SOSV,OSV,0,Mitchell,SO Confusion
134,3,Free,18,Spatial_Clipped_052,Old lady kisses star,SOV,OSV,Eunice,Miguel,SOSVO,SVO,0,Mitchell,SO Confusion
135,3,Free,19,Spatial_Clipped_052,Old lady rubs fireman,OSV,OVO,Eunice,Miguel,SOSVO,SVO,0,Mitchell,V position
140,3,Free,24,Spatial_Clipped_053,Boy pokes heart,OSV,SOV,Eunice,Miguel,NA,NA,0,Melissa,Missing Letter
172,4,Free,8,Spatial_Clipped_061,Fireman lifts car,O,VO,Eunice,Miguel,VO,VO,0,Mitchell,Missing Letter
189,4,Free,25,Spatial_Clipped_066,Fireman pushes boy,SOV,OSV,Eunice,Miguel,SOV,SOV,0,Mitchell,SO Confusion
194,5,Case,6,Spatial_Clipped_079,Girl pushes car,VSO,SOV,Eunice,Miguel,VSOV,SOV,1,Mitchell,V position
289,7,Case,5,Spatial_Clipped_103,Girl kisses boy,SOV,OSV,Eunice,Miguel,OSV,OSV,0,Mitchell,SO Confusion
337,8,Case,5,Spatial_Clipped_115,Boy kicks ball,SOV,OSV,Eunice,Miguel,SOV,SOV,0,Mitchell,SO Confusion
362,8,Free,6,Spatial_Clipped_109,Girl pushes car,SV,OV,Eunice,Miguel,OV,OV,0,Mitchell,SO Confusion
392,21,Case,12,Spatial_Clipped_008,Boy lifts girl,SOV,SVO,Caitlin,Miguel,SVOV,VOV,1,Melissa,V position
393,21,Case,13,Spatial_Clipped_009,Fireman throws star,VOV,SVO,Caitlin,Miguel,SVO,SVO,0,Mitchell,V position
395,21,Case,15,Spatial_Clipped_009,Girl elbows old lady,VOV,SVO,Caitlin,Miguel,SVOV,VOV,1,Mitchell,V position
400,21,Case,20,Spatial_Clipped_010,Girl throws old lady,VOV,SVO,Caitlin,Miguel,SVO,SVO,0,Mitchell,V position
405,21,Case,25,Spatial_Clipped_012,Fireman lifts car,SVO,SOV,Caitlin,Miguel,SVOV,VOV,0,Mitchell,V position
436,22,Case,8,Spatial_Clipped_019,Fireman pushes boy,SV,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,Missing Letter
