,Subject,GestureCondition,Spatial.Cue,Spatial.Cue.Recode,Trial.Number,Clipped.Movie.File,Event,Initial.Coder,Blind.Coder,Final.Decision,Discussed.With
31,1,Free,1,0,11,Spatial_Clipped_026,Girl rubs heart,Eunice,Miguel,0,Mitchell
33,1,Free,1,0,13,Spatial_Clipped_027,Fireman throws star,Eunice,Miguel,1,Mitchell
38,1,Free,1,0,18,Spatial_Clipped_028,Old lady kisses star,Eunice,Miguel,?,
44,1,Free,1,0,24,Spatial_Clipped_029,Boy pokes heart,Eunice,Miguel,1,Mitchell
45,1,Free,1,0,25,Spatial_Clipped_030,Fireman lifts car,Eunice,Miguel,0,Mitchell
46,1,Free,1,0,26,Spatial_Clipped_030,Old lady pokes fireman,Eunice,Miguel,1,Mitchell
48,1,Free,1,0,28,Spatial_Clipped_030,Girl kisses boy,Eunice,Miguel,1,Mitchell
97,3,Case,0,1,5,Spatial_Clipped_055,Boy kicks ball,Eunice,Miguel,1,Mitchell
98,3,Case,0,1,6,Spatial_Clipped_055,Girl pushes car,Eunice,Miguel,1,Mitchell
100,3,Case,0,1,8,Spatial_Clipped_055,Fireman pushes boy,Eunice,Miguel,1,Mitchell
121,3,Free,1,0,5,Spatial_Clipped_049,Boy kicks ball,Eunice,Miguel,1,Mitchell
122,3,Free,1,0,6,Spatial_Clipped_049,Girl pushes car,Eunice,Miguel,1,Mitchell
125,3,Free,1,0,9,Spatial_Clipped_050,Old lady elbows ball,Eunice,Miguel,1,Mitchell
127,3,Free,1,0,11,Spatial_Clipped_050,Girl rubs heart,Eunice,Miguel,0,Mitchell
128,3,Free,1,0,12,Spatial_Clipped_050,Boy lifts girl,Eunice,Miguel,1,Mitchell
129,3,Free,1,0,13,Spatial_Clipped_051,Fireman throws star,Eunice,Miguel,1,Mitchell
134,3,Free,1,0,18,Spatial_Clipped_052,Old lady kisses star,Eunice,Miguel,1,Mitchell
140,3,Free,1,0,24,Spatial_Clipped_053,Boy pokes heart,Eunice,Miguel,1,Mitchell
141,3,Free,1,0,25,Spatial_Clipped_054,Fireman lifts car,Eunice,Miguel,1,Mitchell
