"","Subject","Trial.Number","GestureCondition","Type.of.Action","Object.Type","Word.Order","Exclude","Spatial.Cue","Randomizer","Randomizer.Set","Clipped.Movie.File","Event","Word.Order.Recode","Exclude.Recode","Spatial.Cue.Recode","Used.ASL","X.Embodied..in.some.way","Comments","Spatial.Cue.Katy","SpatialCue","Final.Full.WordOrder","SpatialCue.FinalDecision"
"148",27,5,"Case","Transitive","Person","SOV","",0,0.016130279,14,"Spatial_Clipped_163","Girl kisses boy","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"149",27,7,"Case","Transitive","Person","SOV","",0,0.016130279,14,"Spatial_Clipped_163","Old lady pokes fireman","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"151",29,13,"Case","Transitive","Person","SOV","",0,0.744202733,15,"Spatial_Clipped_189","Girl throws old lady","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"153",29,14,"Case","Transitive","Person","SOV","",0,0.744202733,15,"Spatial_Clipped_189","Old lady rubs fireman","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"154",29,15,"Case","Transitive","Object","SOV","",0,0.744202733,15,"Spatial_Clipped_189","Old lady kisses star","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"155",29,16,"Case","Transitive","Person","SOV","",0,0.744202733,15,"Spatial_Clipped_189","Fireman kicks girl","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"156",29,18,"Case","Transitive","Person","OSV","",0,0.285625273,15,"Spatial_Clipped_190","Girl elbows old lady","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"157",29,20,"Case","Transitive","Object","SOV","",0,0.285625273,15,"Spatial_Clipped_190","Fireman throws star","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"158",29,21,"Case","Transitive","Person","SOV","",0,0.597007593,15,"Spatial_Clipped_191","Boy lifts girl","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"159",29,22,"Case","Transitive","Object","SOVOV","1",0,0.597007593,15,"Spatial_Clipped_191","Girl rubs heart","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"160",29,24,"Case","Transitive","Object","OSV","",0,0.597007593,15,"Spatial_Clipped_191","Old lady elbows ball","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"162",29,27,"Case","Transitive","Object","SOV","",0,0.470253118,15,"Spatial_Clipped_192","Girl pushes car","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"164",29,28,"Case","Transitive","Object","SOV","",0,0.470253118,15,"Spatial_Clipped_192","Boy kicks ball","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"165",29,5,"Case","Transitive","Person","SOSV","",0,0.689333698,15,"Spatial_Clipped_187","Girl kisses boy","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"166",29,7,"Case","Transitive","Person","SOSV","",0,0.689333698,15,"Spatial_Clipped_187","Old lady pokes fireman","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"167",29,9,"Case","Transitive","Object","SOSV","",0,0.845085552,15,"Spatial_Clipped_188","Boy pokes heart","SOV","",1,"","","",NA,"Spatial.Present","SOSOV","Spatial.Present"
"168",3,11,"Case","Transitive","Object","SOV","",1,0.293878998,5,"Spatial_Clipped_056","Girl rubs heart","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"170",3,12,"Case","Transitive","Person","SOV","",1,0.293878998,5,"Spatial_Clipped_056","Boy lifts girl","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"171",3,12,"Free","Transitive","Person","SOV","",1,0.54157484,5,"Spatial_Clipped_050","Boy lifts girl","SOV","",0,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"172",3,13,"Case","Transitive","Object","SOV","",1,0.43801656,5,"Spatial_Clipped_057","Fireman throws star","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"173",3,13,"Free","Transitive","Object","SOV","",1,0.808783585,5,"Spatial_Clipped_051","Fireman throws star","SOV","",0,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"174",3,15,"Case","Transitive","Person","OSV","",1,0.43801656,5,"Spatial_Clipped_057","Girl elbows old lady","OSV","",1,"","E","",NA,"Spatial.Present","OSV","Spatial.Present"
"175",3,15,"Free","Transitive","Person","SOSV","",1,0.808783585,5,"Spatial_Clipped_051","Girl elbows old lady","SOSV","",1,"","E","",NA,"Spatial.Present","SOSV","Spatial.Present"
"176",3,17,"Case","Transitive","Person","SOV","",1,0.103772773,5,"Spatial_Clipped_058","Fireman kicks girl","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"177",3,17,"Free","Transitive","Person","SOSV","",1,0.501977338,5,"Spatial_Clipped_052","Fireman kicks girl","SOV","",1,"","E","",NA,"Spatial.Present","SOSV","Spatial.Present"
"178",3,18,"Case","Transitive","Object","SOSV","",1,0.103772773,5,"Spatial_Clipped_058","Old lady kisses star","SOV","",1,"","E","",NA,"Spatial.Present","SOSV","Spatial.Present"
"179",3,18,"Free","Transitive","Object","SOV","",1,0.501977338,5,"Spatial_Clipped_052","Old lady kisses star","SOSV","",0,"","E","",NA,"Spatial.Present","SOSVO","Spatial.Present"
"180",3,19,"Case","Transitive","Person","SOV","",1,0.103772773,5,"Spatial_Clipped_058","Old lady rubs fireman","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"181",3,19,"Free","Transitive","Person","SOSV","",1,0.501977338,5,"Spatial_Clipped_052","Old lady rubs fireman","SOVO","X",1,"","E","Repeated object",NA,"Spatial.Present","SOSVO","Spatial.Present"
"182",3,20,"Case","Transitive","Person","SOV","",1,0.103772773,5,"Spatial_Clipped_058","Girl throws old lady","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"183",3,20,"Free","Transitive","Person","SOSOV","",1,0.501977338,5,"Spatial_Clipped_052","Girl throws old lady","SOV","",1,"","E","",NA,"Spatial.Present","SOSOV","Spatial.Present"
"184",3,24,"Case","Transitive","Object","SOV","",1,0.519468262,5,"Spatial_Clipped_059","Boy pokes heart","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"185",3,24,"Free","Transitive","Object","SOSV","",1,0.614681456,5,"Spatial_Clipped_053","Boy pokes heart","SOV","",0,"","E","",NA,"Spatial.Present","SOSV","Spatial.Present"
"186",3,25,"Case","Transitive","Object","SOV","",1,0.46140093,5,"Spatial_Clipped_060","Fireman lifts car","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"187",3,25,"Free","Transitive","Object","SOV","",1,0.007559926,5,"Spatial_Clipped_054","Fireman lifts car","SOV","",0,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"188",3,26,"Case","Transitive","Person","OSV","",1,0.46140093,5,"Spatial_Clipped_060","Old lady pokes fireman","OS,V","",1,"","E","",NA,"Spatial.Present","OSV","Spatial.Present"
"189",3,26,"Free","Transitive","Person","SOSV","",1,0.007559926,5,"Spatial_Clipped_054","Old lady pokes fireman","SOSV","",1,"","E","",NA,"Spatial.Present","SOSV","Spatial.Present"
"190",3,28,"Case","Transitive","Person","OSV","",1,0.46140093,5,"Spatial_Clipped_060","Girl kisses boy","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"191",3,28,"Free","Transitive","Person","SOSOV","",1,0.007559926,5,"Spatial_Clipped_054","Girl kisses boy","SOV","",0,"","E","",NA,"Spatial.Present","SOSOV","Spatial.Present"
"192",3,5,"Case","Transitive","Object","SOV","",0,0.698853876,5,"Spatial_Clipped_055","Boy kicks ball","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"193",3,5,"Free","Transitive","Object","SOV","",1,0.468018154,5,"Spatial_Clipped_049","Boy kicks ball","SOV","",0,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"194",3,6,"Case","Transitive","Object","OSV","",0,0.698853876,5,"Spatial_Clipped_055","Girl pushes car","SOV","",1,"","E","",NA,"Spatial.Present","SOSV","Spatial.Present"
"195",3,6,"Free","Transitive","Object","SOV","",1,0.468018154,5,"Spatial_Clipped_049","Girl pushes car","SOV","",0,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"196",3,8,"Case","Transitive","Person","SOSV","",0,0.698853876,5,"Spatial_Clipped_055","Fireman pushes boy","SOSV","",1,"","E","",NA,"Spatial.Present","SOSV","Spatial.Present"
"197",3,8,"Free","Transitive","Person","SOSV","",1,0.468018154,5,"Spatial_Clipped_049","Fireman pushes boy","SOV","",1,"","E","",NA,"Spatial.Present","SOSV","Spatial.Present"
"198",3,9,"Case","Transitive","Object","SOV","",1,0.293878998,5,"Spatial_Clipped_056","Old lady elbows ball","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"199",3,9,"Free","Transitive","Object","SOV","",1,0.54157484,5,"Spatial_Clipped_050","Old lady elbows ball","SOV","",0,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"200",30,11,"Case","Transitive","Object","SOVVO","",0,0.003703403,16,"Spatial_Clipped_200","Girl rubs heart","SOVSVO","X",1,"","","",NA,"Spatial.Present","SOVSVO","Spatial.Present"
"201",30,12,"Case","Transitive","Person","SOSOV","",0,0.003703403,16,"Spatial_Clipped_200","Boy lifts girl","SVO","",1,"","","",NA,"Spatial.Present","SOSV","Spatial.Present"
