"","Subject","Trial.Number","GestureCondition","Type.of.Action","Object.Type","Word.Order","Exclude","Spatial.Cue","Randomizer","Randomizer.Set","Clipped.Movie.File","Event","Word.Order.Recode","Exclude.Recode","Spatial.Cue.Recode","Used.ASL","X.Embodied..in.some.way","Comments","Spatial.Cue.Katy","SpatialCue","Final.Full.WordOrder","SpatialCue.FinalDecision"
"262",32,16,"Free","Transitive","Person","SOV","",1,0.873940997,18,"Spatial_Clipped_219","Fireman kicks girl","SOV","",0,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"263",32,18,"Case","Transitive","Person","SOV","",1,0.20376729,18,"Spatial_Clipped_226","Girl elbows old lady","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"264",32,18,"Free","Transitive","Person","SOV","",1,0.9542913,18,"Spatial_Clipped_220","Girl elbows old lady","SOV","",0,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"265",32,20,"Case","Transitive","Object","SOV","",1,0.20376729,18,"Spatial_Clipped_226","Fireman throws star","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"266",32,20,"Free","Transitive","Object","SOV","",1,0.9542913,18,"Spatial_Clipped_220","Fireman throws star","SOV","",0,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"267",32,21,"Case","Transitive","Person","OSV","",1,0.161564321,18,"Spatial_Clipped_227","Boy lifts girl","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"268",32,21,"Free","Transitive","Person","SOV","",1,0.625287504,18,"Spatial_Clipped_221","Boy lifts girl","SOV","",0,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"269",32,22,"Case","Transitive","Object","OSV","",1,0.161564321,18,"Spatial_Clipped_227","Girl rubs heart","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"270",32,22,"Free","Transitive","Object","OSV","",1,0.625287504,18,"Spatial_Clipped_221","Girl rubs heart","OSV","",0,"","E","",NA,"Spatial.Present","OSV","Spatial.Present"
"271",32,24,"Case","Transitive","Object","OSV","",1,0.161564321,18,"Spatial_Clipped_227","Old lady elbows ball","OSV","",0,"","E","",NA,"Spatial.Present","OSV","Spatial.Present"
"272",32,24,"Free","Transitive","Object","OSV","",1,0.625287504,18,"Spatial_Clipped_221","Old lady elbows ball","OSV","",0,"","E","",NA,"Spatial.Present","OSV","Spatial.Present"
"273",32,25,"Case","Transitive","Person","SOV","",1,0.332471887,18,"Spatial_Clipped_228","Fireman pushes boy","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"274",32,25,"Free","Transitive","Person","SOV","",1,0.893248222,18,"Spatial_Clipped_222","Fireman pushes boy","SOV","",0,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"275",32,27,"Case","Transitive","Object","OSV","",1,0.332471887,18,"Spatial_Clipped_228","Girl pushes car","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"276",32,27,"Free","Transitive","Object","SOV","",1,0.893248222,18,"Spatial_Clipped_222","Girl pushes car","SOV","",0,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"277",32,28,"Case","Transitive","Object","SOV","",1,0.332471887,18,"Spatial_Clipped_228","Boy kicks ball","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"278",32,28,"Free","Transitive","Object","OSV","",1,0.893248222,18,"Spatial_Clipped_222","Boy kicks ball","OSV","",0,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"279",32,5,"Case","Transitive","Person","SOV","",1,0.341692943,18,"Spatial_Clipped_223","Girl kisses boy","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"280",32,7,"Case","Transitive","Person","OSV","",1,0.341692943,18,"Spatial_Clipped_223","Old lady pokes fireman","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"281",32,8,"Case","Transitive","Object","OSV","",1,0.341692943,18,"Spatial_Clipped_223","Fireman lifts car","OSV","",0,"","E","",NA,"Spatial.Present","OSV","Spatial.Present"
"282",32,9,"Case","Transitive","Object","OSV","",1,0.336087834,18,"Spatial_Clipped_224","Boy pokes heart","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"284",33,13,"Free","Transitive","Person","SOSV","",1,0.958017137,19,"Spatial_Clipped_231","Girl throws old lady","SOSV","",1,"","E","",NA,"Spatial.Present","SOSV","Spatial.Present"
"285",33,14,"Case","Transitive","Person","SOV","",1,0.012642652,19,"Spatial_Clipped_237","Old lady rubs fireman","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"286",33,14,"Free","Transitive","Person","SOSOV","",1,0.958017137,19,"Spatial_Clipped_231","Old lady rubs fireman","SOSV","",1,"","E","",NA,"Spatial.Present","SOSV","Spatial.Present"
"287",33,15,"Case","Transitive","Object","SOV","",1,0.012642652,19,"Spatial_Clipped_237","Old lady kisses star","SOV,V","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"288",33,15,"Free","Transitive","Object","SOV","",1,0.958017137,19,"Spatial_Clipped_231","Old lady kisses star","SOV","",0,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"289",33,16,"Case","Transitive","Person","SOV","",1,0.012642652,19,"Spatial_Clipped_237","Fireman kicks girl","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"290",33,16,"Free","Transitive","Person","SOSVO","1",1,0.958017137,19,"Spatial_Clipped_231","Fireman kicks girl","SOSVO","",1,"","","",NA,"Spatial.Present","SOSVO","Spatial.Present"
"291",33,18,"Case","Transitive","Person","SOV","",1,0.817278902,19,"Spatial_Clipped_238","Girl elbows old lady","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"292",33,18,"Free","Transitive","Person","SOSOV","",1,0.214229918,19,"Spatial_Clipped_232","Girl elbows old lady","OSV","",1,"","E","",NA,"Spatial.Present","SOSV","Spatial.Present"
"293",33,20,"Case","Transitive","Object","SOV","",1,0.817278902,19,"Spatial_Clipped_238","Fireman throws star","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"295",33,21,"Case","Transitive","Person","SOV","",1,0.963186773,19,"Spatial_Clipped_239","Boy lifts girl","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"296",33,21,"Free","Transitive","Person","SOV","",1,0.147936571,19,"Spatial_Clipped_233","Boy lifts girl","SOSV","",0,"","E","",NA,"Spatial.Present","SOSV","Spatial.Present"
"297",33,22,"Case","Transitive","Object","SOV","",1,0.963186773,19,"Spatial_Clipped_239","Girl rubs heart","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"298",33,22,"Free","Transitive","Object","SOV","",1,0.147936571,19,"Spatial_Clipped_233","Girl rubs heart","SOV","",0,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"299",33,24,"Case","Transitive","Object","SOV","",1,0.963186773,19,"Spatial_Clipped_239","Old lady elbows ball","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"300",33,24,"Free","Transitive","Object","SOSOV","",1,0.147936571,19,"Spatial_Clipped_233","Old lady elbows ball","SO,SOV","",0,"","E","",NA,"Spatial.Present","SOSOV","Spatial.Present"
"301",33,25,"Case","Transitive","Person","SOV","",1,0.800120064,19,"Spatial_Clipped_240","Fireman pushes boy","SO,SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"302",33,25,"Free","Transitive","Person","SOSOV","",1,0.77966042,19,"Spatial_Clipped_234","Fireman pushes boy","SOV","",1,"","E","",NA,"Spatial.Present","SOSOV","Spatial.Present"
"303",33,27,"Case","Transitive","Object","SOV","",1,0.800120064,19,"Spatial_Clipped_240","Girl pushes car","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"304",33,27,"Free","Transitive","Object","SOSVO","1",1,0.77966042,19,"Spatial_Clipped_234","Girl pushes car","SO,SVO","",0,"","E","",NA,"Spatial.Present","SOSVO","Spatial.Present"
"305",33,28,"Case","Transitive","Object","SOV","",1,0.800120064,19,"Spatial_Clipped_240","Boy kicks ball","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"306",33,28,"Free","Transitive","Object","SOSOV","",1,0.77966042,19,"Spatial_Clipped_234","Boy kicks ball","SO,SOV","",1,"","","",NA,"Spatial.Present","SOSOV","Spatial.Present"
"307",33,5,"Case","Transitive","Person","SOV","",1,0.064899853,19,"Spatial_Clipped_235","Girl kisses boy","SO,SOV","X",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"309",33,7,"Case","Transitive","Person","SOV","",1,0.064899853,19,"Spatial_Clipped_235","Old lady pokes fireman","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"310",33,7,"Free","Transitive","Person","SOV","",1,0.043846205,19,"Spatial_Clipped_229","Old lady pokes fireman","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"311",33,8,"Case","Transitive","Object","SOV","",1,0.064899853,19,"Spatial_Clipped_235","Fireman lifts car","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"312",33,8,"Free","Transitive","Object","SOSV","",1,0.043846205,19,"Spatial_Clipped_229","Fireman lifts car","SOV","",0,"","E","",NA,"Spatial.Present","SOSV","Spatial.Present"
"313",33,9,"Case","Transitive","Object","SOV","",1,0.667545131,19,"Spatial_Clipped_236","Boy pokes heart","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"314",33,9,"Free","Transitive","Object","SOSV","",1,0.856494966,19,"Spatial_Clipped_230","Boy pokes heart","SOV","X",0,"","E","Maybe did not understand clip. She gestured lift.",NA,"Spatial.Present","SOSV","Spatial.Present"
"315",34,11,"Case","Transitive","Object","SOV","",1,0.709066443,20,"Spatial_Clipped_248","Girl rubs heart","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"317",34,12,"Case","Transitive","Person","SOV","",1,0.709066443,20,"Spatial_Clipped_248","Boy lifts girl","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"319",34,13,"Case","Transitive","Object","SOV","",1,0.132372047,20,"Spatial_Clipped_249","Fireman throws star","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"321",34,15,"Case","Transitive","Person","OSV","",1,0.132372047,20,"Spatial_Clipped_249","Girl elbows old lady","OSV","",1,"","","",1,"Spatial.Present","OSV","Spatial.Present"
"323",34,17,"Case","Transitive","Person","SOV","",1,0.976146924,20,"Spatial_Clipped_250","Fireman kicks girl","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"325",34,18,"Case","Transitive","Object","SOV","",1,0.976146924,20,"Spatial_Clipped_250","Old lady kisses star","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"327",34,19,"Case","Transitive","Person","SOV","",1,0.976146924,20,"Spatial_Clipped_250","Old lady rubs fireman","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"329",34,20,"Case","Transitive","Person","SOV","",1,0.976146924,20,"Spatial_Clipped_250","Girl throws old lady","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"331",34,24,"Case","Transitive","Object","SOV","",1,0.099245637,20,"Spatial_Clipped_251","Boy pokes heart","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"332",34,25,"Case","Transitive","Object","SOV","",1,0.854404058,20,"Spatial_Clipped_252","Fireman lifts car","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"334",34,26,"Case","Transitive","Person","SOV","",1,0.854404058,20,"Spatial_Clipped_252","Old lady pokes fireman","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"336",34,28,"Case","Transitive","Person","SOV","",1,0.854404058,20,"Spatial_Clipped_252","Girl kisses boy","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"338",34,5,"Case","Transitive","Object","SOV","",1,0.669485738,20,"Spatial_Clipped_247","Boy kicks ball","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"340",34,6,"Case","Transitive","Object","SOV","",1,0.669485738,20,"Spatial_Clipped_247","Girl pushes car","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"342",34,8,"Case","Transitive","Person","SOV","",1,0.669485738,20,"Spatial_Clipped_247","Fireman pushes boy","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"344",34,9,"Case","Transitive","Object","SOV","",1,0.709066443,20,"Spatial_Clipped_248","Old lady elbows ball","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"346",36,11,"Case","Transitive","Object","SOV","",1,0.487951359,21,"Spatial_Clipped_260","Girl rubs heart","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"348",36,12,"Case","Transitive","Person","SOV","",1,0.487951359,21,"Spatial_Clipped_260","Boy lifts girl","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"350",36,13,"Case","Transitive","Object","SOV","",1,0.740738595,21,"Spatial_Clipped_261","Fireman throws star","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"352",36,15,"Case","Transitive","Person","OSV","1",0,0.740738595,21,"Spatial_Clipped_261","Girl elbows old lady","SOV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"353",36,17,"Case","Transitive","Person","SOV","",1,0.305304857,21,"Spatial_Clipped_262","Fireman kicks girl","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"355",36,18,"Case","Transitive","Object","SOV","",1,0.305304857,21,"Spatial_Clipped_262","Old lady kisses star","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"357",36,19,"Case","Transitive","Person","SOV","",1,0.305304857,21,"Spatial_Clipped_262","Old lady rubs fireman","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"359",36,20,"Case","Transitive","Person","SOV","",1,0.305304857,21,"Spatial_Clipped_262","Girl throws old lady","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"361",36,24,"Case","Transitive","Object","SOV","",1,0.588760222,21,"Spatial_Clipped_263","Boy pokes heart","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"363",36,25,"Case","Transitive","Object","SOV","",1,0.945534309,21,"Spatial_Clipped_264","Fireman lifts car","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"365",36,26,"Case","Transitive","Person","SOV","",1,0.945534309,21,"Spatial_Clipped_264","Old lady pokes fireman","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"367",36,28,"Case","Transitive","Person","SOV","",1,0.945534309,21,"Spatial_Clipped_264","Girl kisses boy","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"369",36,5,"Case","Transitive","Object","SOV","",1,0.28943568,21,"Spatial_Clipped_259","Boy kicks ball","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"370",36,6,"Case","Transitive","Object","SOV","",1,0.28943568,21,"Spatial_Clipped_259","Girl pushes car","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"372",36,8,"Case","Transitive","Person","SOV","",1,0.28943568,21,"Spatial_Clipped_259","Fireman pushes boy","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"374",36,9,"Case","Transitive","Object","SOV","",1,0.487951359,21,"Spatial_Clipped_260","Old lady elbows ball","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"380",37,20,"Case","Transitive","Object","SOV","",1,0.430384891,22,"Spatial_Clipped_274","Fireman throws star","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"383",37,22,"Case","Transitive","Object","SOV","",1,0.399884915,22,"Spatial_Clipped_275","Girl rubs heart","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"392",37,5,"Case","Transitive","Person","SOV","",1,0.817994093,22,"Spatial_Clipped_271","Girl kisses boy","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"393",37,7,"Case","Transitive","Person","SOV","",1,0.817994093,22,"Spatial_Clipped_271","Old lady pokes fireman","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"396",37,9,"Case","Transitive","Object","SOV","",1,0.072773654,22,"Spatial_Clipped_272","Boy pokes heart","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"398",38,11,"Case","Transitive","Object","SOV","",1,0.869907183,23,"Spatial_Clipped_284","Girl rubs heart","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"399",38,12,"Case","Transitive","Person","SOV","",1,0.869907183,23,"Spatial_Clipped_284","Boy lifts girl","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"401",38,13,"Case","Transitive","Object","SOV","",1,0.062064355,23,"Spatial_Clipped_285","Fireman throws star","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"403",38,15,"Case","Transitive","Person","SOV","",1,0.062064355,23,"Spatial_Clipped_285","Girl elbows old lady","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"405",38,17,"Case","Transitive","Person","SOV","",1,0.894684975,23,"Spatial_Clipped_286","Fireman kicks girl","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"407",38,18,"Case","Transitive","Object","SO,SVO","1",0,0.894684975,23,"Spatial_Clipped_286","Old lady kisses star","SVO","",1,"","E","",NA,"Spatial.Present","SO,SVO","Spatial.Present"
"409",38,19,"Case","Transitive","Person","SOV","",1,0.894684975,23,"Spatial_Clipped_286","Old lady rubs fireman","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"411",38,20,"Case","Transitive","Person","SOV","",1,0.894684975,23,"Spatial_Clipped_286","Girl throws old lady","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"413",38,24,"Case","Transitive","Object","SOV","",1,0.907924994,23,"Spatial_Clipped_287","Boy pokes heart","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"414",38,25,"Case","Transitive","Object","SOV","",1,0.06595476,23,"Spatial_Clipped_288","Fireman lifts car","SOV","",1,"A","","",NA,"Spatial.Present","SOV","Spatial.Present"
"416",38,26,"Case","Transitive","Person","SOV","",1,0.06595476,23,"Spatial_Clipped_288","Old lady pokes fireman","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"418",38,28,"Case","Transitive","Person","SO,SVO","1",0,0.06595476,23,"Spatial_Clipped_288","Girl kisses boy","SVO","",1,"","E","",NA,"Spatial.Present","SO,SVO","Spatial.Present"
"420",38,5,"Case","Transitive","Object","SO,SVO","1",1,0.209162243,23,"Spatial_Clipped_283","Boy kicks ball","SVO","",1,"","E","",NA,"Spatial.Present","SO,SVO","Spatial.Present"
"421",38,6,"Case","Transitive","Object","SOV","",1,0.209162243,23,"Spatial_Clipped_283","Girl pushes car","SOV","",1,"A","","",NA,"Spatial.Present","SOV","Spatial.Present"
"423",38,8,"Case","Transitive","Person","SOV","",1,0.209162243,23,"Spatial_Clipped_283","Fireman pushes boy","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"425",38,9,"Case","Transitive","Object","SO,SVO","1",0,0.869907183,23,"Spatial_Clipped_284","Old lady elbows ball","SVO","",1,"","E","",NA,"Spatial.Present","SO,SVO","Spatial.Present"
"427",4,13,"Case","Transitive","Person","SOV","",1,0.946354104,6,"Spatial_Clipped_069","Girl throws old lady","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"429",4,14,"Case","Transitive","Person","OSV","",1,0.946354104,6,"Spatial_Clipped_069","Old lady rubs fireman","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"430",4,14,"Free","Transitive","Person","OSV","",1,0.343572944,6,"Spatial_Clipped_063","Old lady rubs fireman","OSV","",0,"","E","",NA,"Spatial.Present","OSV","Spatial.Present"
"431",4,15,"Case","Transitive","Object","SOV","",1,0.946354104,6,"Spatial_Clipped_069","Old lady kisses star","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"432",4,15,"Free","Transitive","Object","SOV","",1,0.343572944,6,"Spatial_Clipped_063","Old lady kisses star","SOV","",0,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"433",4,16,"Case","Transitive","Person","SOV","",1,0.946354104,6,"Spatial_Clipped_069","Fireman kicks girl","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"435",4,18,"Case","Transitive","Person","OSV","",1,0.466848486,6,"Spatial_Clipped_070","Girl elbows old lady","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"437",4,20,"Case","Transitive","Object","SOV","",1,0.466848486,6,"Spatial_Clipped_070","Fireman throws star","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"439",4,21,"Case","Transitive","Person","SOV","",1,0.407959032,6,"Spatial_Clipped_071","Boy lifts girl","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"441",4,22,"Case","Transitive","Object","OSV","",1,0.407959032,6,"Spatial_Clipped_071","Girl rubs heart","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"443",4,24,"Case","Transitive","Object","OSV","",1,0.407959032,6,"Spatial_Clipped_071","Old lady elbows ball","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"445",4,25,"Case","Transitive","Person","SOV","",1,0.750147829,6,"Spatial_Clipped_072","Fireman pushes boy","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"447",4,27,"Case","Transitive","Object","SOV","",1,0.750147829,6,"Spatial_Clipped_072","Girl pushes car","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"449",4,28,"Case","Transitive","Object","OSV","",1,0.750147829,6,"Spatial_Clipped_072","Boy kicks ball","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"451",4,5,"Case","Transitive","Person","OSV","",1,0.569972753,6,"Spatial_Clipped_067","Girl kisses boy","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"452",4,7,"Case","Transitive","Person","SOV","",1,0.569972753,6,"Spatial_Clipped_067","Old lady pokes fireman","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"453",4,8,"Case","Transitive","Object","SOV","",1,0.569972753,6,"Spatial_Clipped_067","Fireman lifts car","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"454",4,9,"Case","Transitive","Object","OSV","",1,0.00264577,6,"Spatial_Clipped_068","Boy pokes heart","OSV","",1,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"469",47,14,"Case","Transitive","Person","SOSV","",1,0.561419566,28,"Spatial_Clipped_321","Old lady rubs fireman","SOV","",0,"no","Agent, Verb","",NA,"Spatial.Present","SVO","Spatial.Present"
"472",47,15,"Free","Transitive","Object","SOV","",0,0.733574992,28,"Spatial_Clipped_315","Old lady kisses star","SOSV","",1,"no","Agent, Verb","",NA,"Spatial.Present","OSV","Spatial.Present"
"473",47,16,"Case","Transitive","Person","SOSVO","",1,0.561419566,28,"Spatial_Clipped_321","Fireman kicks girl","SOV","",0,"no","Agent","",NA,"Spatial.Present","SVO","Spatial.Present"
"475",47,18,"Case","Transitive","Person","SOSOV","",1,0.490709947,28,"Spatial_Clipped_322","Girl elbows old lady","SOV","",0,"no","Agent, Verb","",NA,"Spatial.Present","SOSOV","Spatial.Present"
"477",47,20,"Case","Transitive","Object","SOSV","",1,0.490709947,28,"Spatial_Clipped_322","Fireman throws star","SOV","",0,"no","Agent, Verb","",NA,"Spatial.Present","OSV","Spatial.Present"
"479",47,21,"Case","Transitive","Person","SOSV","",1,0.587900545,28,"Spatial_Clipped_323","Boy lifts girl","SOSV","",0,"no","Agent, Verb","",NA,"Spatial.Present","SOSV","Spatial.Present"
"481",47,22,"Case","Transitive","Object","SOSV","",1,0.587900545,28,"Spatial_Clipped_323","Girl rubs heart","SOS(OV)","",0,"no","Agent, Verb","",NA,"Spatial.Present","SOV","Spatial.Present"
"482",47,22,"Free","Transitive","Object","SOV","",0,0.225161439,28,"Spatial_Clipped_317","Girl rubs heart","SOV","",1,"no","Agent, Verb","",NA,"Spatial.Present","SOV","Spatial.Present"
"483",47,24,"Case","Transitive","Object","SOSOV","",1,0.587900545,28,"Spatial_Clipped_323","Old lady elbows ball","SOSV","",1,"no","Agent, Verb","",NA,"Spatial.Present","OSV","Spatial.Present"
"484",47,24,"Free","Transitive","Object","SOSV","",0,0.225161439,28,"Spatial_Clipped_317","Old lady elbows ball","SOSV","",1,"no","Agent, Verb","",NA,"Spatial.Present","SOSV","Spatial.Present"
"485",47,25,"Case","Transitive","Person","SOSVO","",1,0.599954974,28,"Spatial_Clipped_324","Fireman pushes boy","SOSVO","",0,"no","Agent, Verb","",NA,"Spatial.Present","SOSVO","Spatial.Present"
"488",47,28,"Case","Transitive","Object","SOSVO","",1,0.599954974,28,"Spatial_Clipped_324","Boy kicks ball","SOSV","",1,"no","Agent","",NA,"Spatial.Present","SOV","Spatial.Present"
"490",47,5,"Case","Transitive","Person","SOSV","",1,0.986424113,28,"Spatial_Clipped_319","Girl kisses boy","SOV","",0,"no","Agent, Verb","",NA,"Spatial.Present","OSV","Spatial.Present"
"492",47,7,"Case","Transitive","Person","SOV","",1,0.986424113,28,"Spatial_Clipped_319","Old lady pokes fireman","SOV","",1,"no","Agent, Verb","",NA,"Spatial.Present","SOV","Spatial.Present"
"493",47,8,"Case","Transitive","Object","SOV","",1,0.986424113,28,"Spatial_Clipped_319","Fireman lifts car","SOV","",0,"no","Agent, Verb","",NA,"Spatial.Present","SOV","Spatial.Present"
"494",47,9,"Case","Transitive","Object","SOSV","",0,0.778849574,28,"Spatial_Clipped_320","Boy pokes heart","SOSV","",1,"no","Agent, Verb","",NA,"Spatial.Present","SOSV","Spatial.Present"
"505",5,11,"Case","Transitive","Object","VSOV","",0,0.724345456,7,"Spatial_Clipped_080","Girl rubs heart","V,SOV","",1,"","","",NA,"Spatial.Present","VSOV","Spatial.Present"
"506",5,11,"Free","Transitive","Object","OSV","",1,0.982024112,7,"Spatial_Clipped_074","Girl rubs heart","OSV","",1,"","E","",NA,"Spatial.Present","OSV","Spatial.Present"
"507",5,12,"Case","Transitive","Person","VSOV","",0,0.724345456,7,"Spatial_Clipped_080","Boy lifts girl","V,SOV","",1,"","","",NA,"Spatial.Present","VSOV","Spatial.Present"
"509",5,13,"Case","Transitive","Object","VSOV","",0,0.545519748,7,"Spatial_Clipped_081","Fireman throws star","V,SOV","",1,"","","",NA,"Spatial.Present","VSOV","Spatial.Present"
"511",5,15,"Case","Transitive","Person","VOSV","",0,0.545519748,7,"Spatial_Clipped_081","Girl elbows old lady","V,OSV","",1,"","","",NA,"Spatial.Present","VOSV","Spatial.Present"
"512",5,17,"Case","Transitive","Person","VSOV","",0,0.57197272,7,"Spatial_Clipped_082","Fireman kicks girl","V,SOV","",1,"","","",NA,"Spatial.Present","VSOV","Spatial.Present"
"514",5,18,"Case","Transitive","Object","VOSV","",0,0.57197272,7,"Spatial_Clipped_082","Old lady kisses star","V,OSV","",1,"","","",NA,"Spatial.Present","VOSV","Spatial.Present"
"515",5,18,"Free","Transitive","Object","OSV","",1,0.436309594,7,"Spatial_Clipped_076","Old lady kisses star","OSV","",1,"","E","",NA,"Spatial.Present","OSV","Spatial.Present"
"516",5,19,"Case","Transitive","Person","VOSV","",0,0.57197272,7,"Spatial_Clipped_082","Old lady rubs fireman","V,OSV","",1,"","","",NA,"Spatial.Present","VOSV","Spatial.Present"
