StimNo,AgentNo,VerbNo,PatientNo,SwitchNo,Agent,Verb,Patient,SwitchType,Switch,Condition,TargetSentence,DistractorSentence,ReverseSentence
1,1,1,2,3,Fireman,Elbow,Old Lady,A,Boy,Animate-Object,Fireman Elbow Old Lady,Boy Elbow Old Lady,Old Lady Elbow Fireman
2,2,1,3,3,Old Lady,Elbow,Boy,V,Kiss,Animate-Object,Old Lady Elbow Boy,Old Lady Kiss Boy,Boy Elbow Old Lady
3,3,1,4,1,Boy,Elbow,Girl,P,Fireman,Animate-Object,Boy Elbow Girl,Boy Elbow Fireman,Girl Elbow Boy
4,2,2,4,1,Old Lady,Kick,Girl,A,Fireman,Animate-Object,Old Lady Kick Girl,Fireman Kick Girl,Girl Kick Old Lady
5,3,2,1,4,Boy,Kick,Fireman,V,Lift,Animate-Object,Boy Kick Fireman,Boy Lift Fireman,Fireman Kick Boy
6,4,2,2,3,Girl,Kick,Old Lady,P,Boy,Animate-Object,Girl Kick Old Lady,Girl Kick Boy,Old Lady Kick Girl
7,3,3,1,4,Boy,Kiss,Fireman,A,Girl,Animate-Object,Boy Kiss Fireman,Girl Kiss Fireman,Fireman Kiss Boy
8,4,3,2,5,Girl,Kiss,Old Lady,V,Rub,Animate-Object,Girl Kiss Old Lady,Girl Rub Old Lady,Old Lady Kiss Girl
9,1,3,3,2,Fireman,Kiss,Boy,P,Old Lady,Animate-Object,Fireman Kiss Boy,Fireman Kiss Old Lady,Boy Kiss Fireman
10,4,4,3,2,Girl,Lift,Boy,A,Old Lady,Animate-Object,Girl Lift Boy,Old Lady Lift Boy,Boy Lift Girl
11,1,4,4,6,Fireman,Lift,Girl,V,Push,Animate-Object,Fireman Lift Girl,Fireman Push Girl,Girl Lift Fireman
12,2,4,1,4,Old Lady,Lift,Fireman,P,Girl,Animate-Object,Old Lady Lift Fireman,Old Lady Lift Girl,Fireman Lift Old Lady
13,4,5,3,2,Girl,Rub,Boy,A,Old Lady,Animate-Object,Girl Rub Boy,Old Lady Rub Boy,Boy Rub Girl
14,3,5,2,7,Boy,Rub,Old Lady,V,Throw,Animate-Object,Boy Rub Old Lady,Boy Throw Old Lady,Old Lady Rub Boy
15,2,5,1,3,Old Lady,Rub,Fireman,P,Boy,Animate-Object,Old Lady Rub Fireman,Old Lady Rub Boy,Fireman Rub Old Lady
16,3,6,1,4,Boy,Push,Fireman,A,Girl,Animate-Object,Boy Push Fireman,Girl Push Fireman,Fireman Push Boy
17,2,6,4,8,Old Lady,Push,Girl,V,Poke,Animate-Object,Old Lady Push Girl,Old Lady Poke Girl,Girl Push Old Lady
18,1,6,3,4,Fireman,Push,Boy,P,Girl,Animate-Object,Fireman Push Boy,Fireman Push Girl,Boy Push Fireman
19,2,7,4,1,Old Lady,Throw,Girl,A,Fireman,Animate-Object,Old Lady Throw Girl,Fireman Throw Girl,Girl Throw Old Lady
20,1,7,3,1,Fireman,Throw,Boy,V,Elbow,Animate-Object,Fireman Throw Boy,Fireman Elbow Boy,Boy Throw Fireman
21,4,7,2,1,Girl,Throw,Old Lady,P,Fireman,Animate-Object,Girl Throw Old Lady,Girl Throw Fireman,Old Lady Throw Girl
22,1,8,2,3,Fireman,Poke,Old Lady,A,Boy,Animate-Object,Fireman Poke Old Lady,Boy Poke Old Lady,Old Lady Poke Fireman
23,4,8,1,2,Girl,Poke,Fireman,V,Kick,Animate-Object,Girl Poke Fireman,Girl Kick Fireman,Fireman Poke Girl
24,3,8,4,2,Boy,Poke,Girl,P,Old Lady,Animate-Object,Boy Poke Girl,Boy Poke Old Lady,Girl Poke Boy
25,1,1,NA,2,Fireman,Fall,NA,V,Tumble,Animate-Intransitive,Fireman Fall ,Fireman Tumble , Fall Fireman
26,2,1,NA,4,Old Lady,Fall,NA,A,Girl,Animate-Intransitive,Old Lady Fall ,Girl Fall , Fall Old Lady
27,3,1,NA,2,Boy,Fall,NA,A,Old Lady,Animate-Intransitive,Boy Fall ,Old Lady Fall , Fall Boy
28,2,2,NA,3,Old Lady,Tumble,NA,V,Jump,Animate-Intransitive,Old Lady Tumble ,Old Lady Jump , Tumble Old Lady
29,3,2,NA,1,Boy,Tumble,NA,A,Fireman,Animate-Intransitive,Boy Tumble ,Fireman Tumble , Tumble Boy
30,4,2,NA,3,Girl,Tumble,NA,A,Boy,Animate-Intransitive,Girl Tumble ,Boy Tumble , Tumble Girl
31,3,3,NA,4,Boy,Jump,NA,V,Move,Animate-Intransitive,Boy Jump ,Boy Move , Jump Boy
32,4,3,NA,2,Girl,Jump,NA,A,Old Lady,Animate-Intransitive,Girl Jump ,Old Lady Jump , Jump Girl
33,1,3,NA,4,Fireman,Jump,NA,A,Girl,Animate-Intransitive,Fireman Jump ,Girl Jump , Jump Fireman
34,4,4,NA,1,Girl,Move,NA,V,Fall,Animate-Intransitive,Girl Move ,Girl Fall , Move Girl
35,1,4,NA,3,Fireman,Move,NA,A,Boy,Animate-Intransitive,Fireman Move ,Boy Move , Move Fireman
36,2,4,NA,1,Old Lady,Move,NA,A,Fireman,Animate-Intransitive,Old Lady Move ,Fireman Move , Move Old Lady
37,1,1,2,3,Fireman,Elbow,Ball,A,Boy,Inanimate-Object,Fireman Elbow Ball,Boy Elbow Ball,Ball Elbow Fireman
38,2,1,3,3,Old Lady,Elbow,Heart,V,Kiss,Inanimate-Object,Old Lady Elbow Heart,Old Lady Kiss Heart,Heart Elbow Old Lady
39,3,1,4,1,Boy,Elbow,Car,P,Star,Inanimate-Object,Boy Elbow Car,Boy Elbow Star,Car Elbow Boy
40,2,2,4,1,Old Lady,Kick,Car,A,Fireman,Inanimate-Object,Old Lady Kick Car,Fireman Kick Car,Car Kick Old Lady
41,3,2,1,4,Boy,Kick,Star,V,Lift,Inanimate-Object,Boy Kick Star,Boy Lift Star,Star Kick Boy
42,4,2,2,3,Girl,Kick,Ball,P,Heart,Inanimate-Object,Girl Kick Ball,Girl Kick Heart,Ball Kick Girl
43,3,3,1,4,Boy,Kiss,Star,A,Girl,Inanimate-Object,Boy Kiss Star,Girl Kiss Star,Star Kiss Boy
44,4,3,2,5,Girl,Kiss,Ball,V,Rub,Inanimate-Object,Girl Kiss Ball,Girl Rub Ball,Ball Kiss Girl
45,1,3,3,2,Fireman,Kiss,Heart,P,Ball,Inanimate-Object,Fireman Kiss Heart,Fireman Kiss Ball,Heart Kiss Fireman
46,4,4,3,2,Girl,Lift,Heart,A,Old Lady,Inanimate-Object,Girl Lift Heart,Old Lady Lift Heart,Heart Lift Girl
47,1,4,4,6,Fireman,Lift,Car,V,Push,Inanimate-Object,Fireman Lift Car,Fireman Push Car,Car Lift Fireman
48,2,4,1,4,Old Lady,Lift,Star,P,Car,Inanimate-Object,Old Lady Lift Star,Old Lady Lift Car,Star Lift Old Lady
49,4,5,3,2,Girl,Rub,Heart,A,Old Lady,Inanimate-Object,Girl Rub Heart,Old Lady Rub Heart,Heart Rub Girl
50,3,5,2,7,Boy,Rub,Ball,V,Throw,Inanimate-Object,Boy Rub Ball,Boy Throw Ball,Ball Rub Boy
51,2,5,1,3,Old Lady,Rub,Star,P,Heart,Inanimate-Object,Old Lady Rub Star,Old Lady Rub Heart,Star Rub Old Lady
52,3,6,1,4,Boy,Push,Star,A,Girl,Inanimate-Object,Boy Push Star,Girl Push Star,Star Push Boy
53,2,6,4,8,Old Lady,Push,Car,V,Poke,Inanimate-Object,Old Lady Push Car,Old Lady Poke Car,Car Push Old Lady
54,1,6,3,4,Fireman,Push,Heart,P,Car,Inanimate-Object,Fireman Push Heart,Fireman Push Car,Heart Push Fireman
55,2,7,4,1,Old Lady,Throw,Car,A,Fireman,Inanimate-Object,Old Lady Throw Car,Fireman Throw Car,Car Throw Old Lady
56,1,7,3,1,Fireman,Throw,Heart,V,Elbow,Inanimate-Object,Fireman Throw Heart,Fireman Elbow Heart,Heart Throw Fireman
57,4,7,2,1,Girl,Throw,Ball,P,Star,Inanimate-Object,Girl Throw Ball,Girl Throw Star,Ball Throw Girl
58,1,8,2,3,Fireman,Poke,Ball,A,Boy,Inanimate-Object,Fireman Poke Ball,Boy Poke Ball,Ball Poke Fireman
59,4,8,1,2,Girl,Poke,Star,V,Kick,Inanimate-Object,Girl Poke Star,Girl Kick Star,Star Poke Girl
