StimNo,AgentNo,VerbNo,PatientNo,SwitchNo,Agent,Verb,Patient,SwitchType,Switch,Condition,TargetSentence,DistractorSentence,ReverseSentence
60,3,8,4,2,Boy,Poke,Car,P,Ball,Inanimate-Object,Boy Poke Car,Boy Poke Ball,Car Poke Boy
61,1,1,NA,2,Star,Fall,NA,V,Tumble,Inanimate-Intransitive,Star Fall ,Star Tumble , Fall Star
62,2,1,NA,4,Ball,Fall,NA,A,Car,Inanimate-Intransitive,Ball Fall ,Car Fall , Fall Ball
63,3,1,NA,2,Heart,Fall,NA,A,Ball,Inanimate-Intransitive,Heart Fall ,Ball Fall , Fall Heart
64,2,2,NA,3,Ball,Tumble,NA,V,Jump,Inanimate-Intransitive,Ball Tumble ,Ball Jump , Tumble Ball
65,3,2,NA,1,Heart,Tumble,NA,A,Star,Inanimate-Intransitive,Heart Tumble ,Star Tumble , Tumble Heart
66,4,2,NA,3,Car,Tumble,NA,A,Heart,Inanimate-Intransitive,Car Tumble ,Heart Tumble , Tumble Car
67,3,3,NA,4,Heart,Jump,NA,V,Move,Inanimate-Intransitive,Heart Jump ,Heart Move , Jump Heart
68,4,3,NA,2,Car,Jump,NA,A,Ball,Inanimate-Intransitive,Car Jump ,Ball Jump , Jump Car
69,1,3,NA,4,Star,Jump,NA,A,Car,Inanimate-Intransitive,Star Jump ,Car Jump , Jump Star
70,4,4,NA,1,Car,Move,NA,V,Fall,Inanimate-Intransitive,Car Move ,Car Fall , Move Car
71,1,4,NA,3,Star,Move,NA,A,Heart,Inanimate-Intransitive,Star Move ,Heart Move , Move Star
72,2,4,NA,1,Ball,Move,NA,A,Star,Inanimate-Intransitive,Ball Move ,Star Move , Move Ball
